time,ax,ay,az
1928241,-0.30734,0.18266,13.36949
1928257,0.33052,-0.35736,10.45495
1928272,-0.17805,0.41744,11.23914
1928286,0.02735,0.03694,13.63557
1928302,0.17356,-0.24433,10.18899
1928316,-0.25308,0.36324,11.09183
1928330,0.52317,-0.10246,13.19708
1928343,0.06486,-0.33877,10.6684
1928358,-0.24194,0.40038,10.24889
1928373,0.44544,-0.00891,13.06433
1928388,-0.18052,-0.25738,10.18528
1928401,-0.14171,0.32724,10.96467
1928416,0.63602,0.04893,12.18408
1928430,-0.04639,-0.09447,9.74672
1928446,-0.12366,0.35375,12.46877
1928461,0.52092,-0.13151,11.86323
1928475,-0.2322,-0.12197,10.01347
1928491,-0.11076,0.18733,13.17604
1928507,0.15993,-0.14105,11.28273
1928521,-0.34491,0.2099,10.69687
1928534,-0.00864,0.06198,13.63102
1928550,-0.01494,-0.22246,9.6918
1928566,-0.31872,0.32883,10.26707
1928581,0.3232,0.04916,13.05569
1928595,-0.15292,-0.40822,10.54641
1928610,-0.24523,0.27766,11.56109
1928628,0.26656,-0.00074,11.65635
1928642,-0.3029,-0.05166,10.10102
1928657,-0.22523,0.29054,13.53339
1928671,0.08068,-0.05927,12.13819
1928687,-0.22595,-0.00846,10.73619
1928704,0.39597,-0.03094,14.70804
1928719,-0.29109,-0.19091,9.25016
1928734,-0.41346,0.29258,10.81757
1928751,0.54069,-0.07804,12.46707
1928768,-0.3556,-0.18233,10.0609
1928782,0.08915,0.26367,13.25323
1928797,0.1295,-0.13633,11.5028
1928812,-0.16389,0.03297,9.81226
1928827,0.55503,0.15065,13.38384
1928842,0.02173,-0.08314,9.4321
1928858,-0.30017,0.30541,10.42666
1928874,0.63038,0.09106,12.74648
1928889,-0.17095,-0.15499,9.26862
1928906,0.03513,0.33483,13.12853
1928921,-0.09854,-0.16934,11.43248
1928937,-0.38641,-0.17448,10.67087
1928952,0.56672,0.06053,14.53636
1928966,-0.19474,-0.09299,10.9611
1928980,-0.36286,0.01414,10.15171
1928996,0.52585,0.21457,13.60651
1929011,-0.23701,-0.21327,10.24896
1929026,-0.12802,0.29193,10.38133
1929041,0.45858,0.04824,13.2481
1929056,-0.11964,-0.17571,9.97491
1929071,0.0519,0.46689,12.0551
1929087,0.01912,0.03134,12.05014
1929102,-0.31983,-0.22169,10.26851
1929117,0.47174,0.20491,13.56592
1929131,-0.31811,-0.03284,11.46906
1929145,-0.41987,-0.18868,9.20785
1929161,0.60358,0.13308,13.32897
1929175,-0.07439,-0.09332,10.52394
1929190,-0.13524,-0.09251,10.54392
1929205,0.54787,0.14173,14.14359
1929219,-0.24508,-0.10711,9.82764
1929234,-0.26144,0.24063,10.29415
1929249,0.15548,0.14554,13.0311
1929263,-0.26974,-0.13932,9.70762
1929280,0.34471,0.37643,12.32508
1929296,-0.07664,-0.03667,11.99049
1929310,-0.3724,-0.27544,9.75995
1929325,0.47528,0.36363,13.24219
1929340,-0.15941,-0.09871,11.04372
1929357,-0.12072,-0.15284,11.15032
1929372,0.36907,0.10002,13.8845
1929386,-0.3169,-0.17696,9.96027
1929401,0.02656,0.07133,10.08424
1929414,0.59735,0.17742,13.25025
1929430,-0.30366,-0.19432,9.47834
1929445,0.29106,0.21716,11.3868
1929460,0.03447,0.04237,13.42702
1929478,-0.38405,-0.29949,9.94872
1929492,0.58278,0.3333,12.81882
1929508,-0.37769,-0.06252,11.22191
1929523,-0.1975,-0.22343,11.28464
1929537,0.39428,0.36596,14.22893
1929552,-0.40723,-0.08662,10.46952
1929569,0.07657,0.11988,10.51913
1929584,-0.24141,0.18104,13.3352
1929598,-0.66495,-0.1424,10.61272
1929614,0.1825,0.16004,12.0595
1929629,-0.41452,0.05299,12.33629
1929645,-0.47095,-0.30073,10.65485
1929661,0.31371,0.47631,12.90779
1929677,-0.40983,0.06137,10.26991
1929692,0.19586,-0.0758,10.69795
1929707,-0.0386,0.36689,14.01982
1929721,-0.32906,-0.01602,10.37259
1929736,0.42178,0.05504,11.25074
1929752,-0.12624,0.17359,12.27056
1929767,-0.26756,-0.24614,10.3269
1929782,0.59728,0.28696,12.67199
1929797,-0.35343,0.0868,12.06905
1929812,0.0625,-0.19142,10.44505
1929828,0.38032,0.49387,12.78794
1929843,-0.16073,-0.0385,11.25388
1929861,0.59171,-0.1062,10.89314
1929876,-0.08871,0.37109,13.30921
1929890,-0.24113,0.00539,9.7635
1929903,0.38732,0.00102,10.8769
1929917,-0.22377,0.35655,13.50968
1929931,-0.37272,-0.08072,11.0803
1929945,0.54396,-0.09419,10.86701
1929959,-0.02961,0.29167,13.7606
1929975,-0.31439,-0.1339,9.86271
1929990,0.23877,0.20941,12.2587
1930007,-0.27468,0.01705,11.81628
1930022,-0.0573,-0.38789,10.57547
1930037,-0.09976,0.32966,13.24255
1930053,-0.43816,-0.13067,10.50093
1930067,0.03601,-0.29729,10.03253
1930082,-0.37131,0.42121,12.30715
1930097,-0.61189,-0.01321,10.4072
1930110,0.54661,-0.30938,10.32598
1930125,-0.18995,0.33826,13.31154
1930139,-0.38444,-0.10912,9.8689
1930154,0.3756,-0.19884,11.34839
1930171,-0.42975,0.15717,12.90545
1930187,0.06808,-0.30796,10.73962
1930203,-0.14797,0.32643,12.82418
1930217,-0.47767,0.02897,11.61839
1930231,0.27182,-0.20597,9.96347
1930245,0.0363,0.46292,12.99421
1930260,-0.07973,0.0892,11.90441
1930276,0.72718,-0.25597,10.76176
1930292,-0.16765,0.41627,13.80593
1930307,-0.06189,-0.0427,9.65082
1930323,0.02266,-0.05588,10.45821
1930339,-0.28902,0.26146,12.64287
1930352,0.1551,-0.13829,10.45667
1930366,0.14538,-0.15151,12.49193
1930383,-0.36089,0.00783,12.419
1930400,0.55721,-0.27081,9.80845
1930418,-0.10614,0.40631,14.13012
1930434,-0.13161,-0.16078,9.54521
1930449,-0.05535,-0.10932,11.37779
1930466,-0.24161,0.12373,12.57006
1930480,0.36115,0.00643,9.4877
1930495,-0.19394,0.27917,12.44542
1930509,-0.37434,0.19697,11.90729
1930523,0.23213,-0.15029,10.49337
1930537,-0.40163,0.22533,12.94972
1930552,-0.40869,0.00149,11.55281
1930568,0.4232,-0.28761,9.73394
1930584,-0.27098,0.40302,14.43586
1930598,0.11029,-0.1167,10.17464
1930614,0.11712,-0.27562,10.7845
1930631,-0.26115,0.27938,12.77876
1930646,0.32732,-0.0346,9.46246
1930663,-0.29613,0.25774,12.87756
1930680,-0.00714,0.11391,10.27426
1930696,0.19405,-0.27714,11.02387
1930713,-0.17398,0.32395,13.57626
1930731,0.61723,0.00567,10.20443
1930745,-0.04731,0.21556,12.80827
1930760,-0.07306,0.08308,11.629
1930775,0.40088,-0.17471,10.32794
1930789,-0.24366,0.16307,13.34746
1930805,-0.00902,-0.0673,10.47125
1930820,-0.06472,-0.32088,9.83395
1930835,-0.16594,0.38661,13.61251
1930850,0.38746,-0.02776,9.46052
1930866,-0.26239,-0.37419,11.72183
1930880,-0.19272,0.31281,13.54601
1930895,0.31957,-0.05401,9.08812
1930908,-0.38633,-0.10931,11.01351
1930922,-0.36081,0.42433,13.00369
1930936,0.25011,0.00452,9.87932
1930950,-0.33115,-0.20992,11.89916
1930964,-0.53455,0.39332,13.21844
1930978,0.31122,0.04383,9.81498
1930993,-0.37394,-0.15395,11.53816
1931007,-0.39906,0.38415,13.01143
1931022,0.23966,0.03203,10.55699
1931037,-0.24905,-0.10651,12.40542
1931052,0.0646,0.02502,11.75296
1931066,-0.00388,-0.18074,9.96876
1931079,-0.4556,-0.01032,12.14106
1931094,0.04067,0.31324,11.37159
