time,ax,ay,az
1954482,0.14067,0.6691,14.12978
1954497,0.18633,-0.3069,9.37386
1954513,-1.05823,-0.03193,10.91384
1954528,0.06967,0.77332,13.79259
1954543,0.71421,-0.08642,10.15942
1954557,-0.79442,-0.03439,9.66272
1954574,-0.40236,0.73517,12.7356
1954589,1.05819,-0.17297,12.23363
1954605,-0.77949,-0.30183,9.84277
1954621,-0.06886,0.33938,13.22893
1954636,1.23291,-0.0374,14.32938
1954651,-0.34314,-0.33131,9.98567
1954665,-0.57886,0.07832,11.80682
1954681,0.90394,0.4877,14.18195
1954696,0.43024,-0.33896,8.28787
1954711,-0.70312,-0.06171,10.90884
1954726,0.27208,0.56842,14.84127
1954741,0.72826,-0.61451,10.15213
1954755,-0.52586,-0.23583,10.8138
1954768,9e-05,0.55226,13.38701
1954783,1.30054,-0.12718,13.80378
1954800,-0.1651,-0.16677,10.23148
1954815,-0.1013,0.40382,13.04219
1954829,1.04784,0.11623,15.22371
1954844,0.30556,-0.11706,9.83169
1954858,-0.90054,0.05774,11.78831
1954874,0.22056,0.58006,14.71057
1954890,0.4923,-0.37997,9.50095
1954903,-0.7007,-0.11571,10.55622
1954918,0.27551,0.84616,13.25835
1954933,1.25299,-0.28045,11.70673
1954949,-0.80796,0.08573,10.01503
1954965,-0.03502,0.83261,11.83659
1954980,1.26292,-0.38811,11.88033
1954998,-0.85782,-0.13768,8.47884
1955012,-0.42927,0.63909,11.62026
1955026,0.88215,-0.0961,14.17311
1955041,-0.02251,-0.10367,9.17291
1955057,-0.41935,0.64225,12.00599
1955072,0.39742,0.18442,14.19759
1955087,0.19751,-0.04004,8.84587
1955104,-0.55888,0.55331,10.71918
1955119,0.11093,0.44243,14.21207
1955134,0.2406,-0.05199,10.79303
1955149,-1.0495,0.24389,11.62114
1955163,-0.31876,0.71176,13.84642
1955177,0.92304,-0.40908,12.89735
1955194,-0.41197,-0.16107,11.10573
1955209,0.11118,0.68036,12.74987
1955225,1.01869,-0.34568,12.90375
1955240,-0.55238,-0.16215,10.17028
1955255,-0.39979,0.46479,12.06843
1955271,0.77222,-0.47865,13.79482
1955287,-0.19406,-0.26247,9.18433
1955302,-0.13787,0.51563,11.14061
1955317,0.96171,-0.08227,13.39307
1955330,0.65635,-0.0781,9.41964
1955347,-0.75324,0.41053,11.25569
1955362,0.13971,0.35274,13.61789
1955377,0.32289,0.01101,10.0399
1955392,-0.67871,0.15986,10.24682
1955406,0.09219,0.61024,11.99538
1955423,1.09806,-0.3669,11.78417
1955437,-0.32458,-0.18788,9.33385
1955451,-0.38357,0.56141,11.64747
1955467,0.84506,-0.37127,13.16457
1955482,-0.10416,-0.13076,8.24702
1955496,-0.62571,0.60561,10.92233
1955511,0.12036,0.0996,14.05511
1955525,0.41911,0.13111,10.45401
1955540,-0.71734,0.50521,10.43546
1955555,-0.10654,0.46832,12.23291
1955570,1.03288,-0.07816,11.14935
1955586,-0.81344,0.18841,9.35744
1955602,-0.12983,0.39562,13.44217
1955618,0.95059,-0.25312,12.64123
1955632,-0.56739,-0.06064,9.63592
1955647,-0.67853,0.64038,12.01268
1955662,0.68297,-0.52177,13.99724
1955676,-0.16598,-0.33325,8.41671
1955691,-1.15171,0.56007,10.94739
1955705,-0.02798,-0.2495,14.24997
1955721,0.59538,-0.1389,10.14661
1955734,-0.81526,0.32083,9.9671
1955747,-0.08181,0.4213,12.0881
1955762,1.26709,-0.39056,12.98895
1955776,0.0667,-0.22921,8.06139
1955791,-0.56461,0.7369,11.10293
1955806,0.62698,-0.38023,13.85844
1955820,0.56512,-0.06169,9.54255
1955836,-0.74608,0.50889,11.10568
1955852,0.17726,-0.28344,14.10705
1955869,0.58177,-0.172,9.83055
1955883,-0.74962,0.61717,10.14039
1955898,0.13872,-0.15224,13.05042
1955913,1.25775,-0.1829,12.11675
1955930,-0.54377,0.52377,10.98909
1955943,-0.14123,0.42485,12.93673
1955957,0.84818,-0.24461,13.89962
1955974,-0.27435,0.21528,9.25021
1955989,-0.64349,0.64294,12.04029
1956005,1.0679,-0.24089,14.06621
1956021,-0.07105,0.32982,9.02352
1956037,-0.50371,0.73683,12.14762
1956052,0.73934,-0.27148,15.26912
1956067,0.22037,-0.03995,9.24087
1956084,-0.65417,0.87302,11.11202
1956097,0.21645,-0.41876,14.39886
1956112,0.78752,-0.12834,10.30494
1956127,-0.94481,0.88017,10.54562
1956142,0.00702,-0.13151,12.72957
1956156,1.31676,-0.06208,12.67976
1956170,-0.40098,0.44227,9.2426
1956184,-0.44199,0.58141,11.8383
1956199,0.65482,-0.17536,14.29692
1956213,0.62774,-0.02019,8.83737
