time,ax,ay,az
1880296,-0.3905,0.31016,10.53107
1880312,0.31342,-0.27002,13.07673
1880327,0.23068,0.08688,9.47698
1880344,-0.56479,0.47788,11.86541
1880359,0.60351,-0.38004,10.79778
1880373,-0.05099,0.22049,10.29796
1880387,-0.32206,0.51931,12.84625
1880403,0.38368,-0.09328,10.06421
1880419,-0.48236,0.3847,11.64434
1880432,-0.08786,-0.09223,13.26146
1880448,0.43425,-0.11986,9.7765
1880462,-0.29849,0.38825,12.60425
1880477,0.52632,-0.40301,11.56235
1880492,0.59519,0.03518,10.01453
1880508,-0.29327,0.65152,12.9997
1880523,0.63472,-0.07461,9.93796
1880537,-0.02416,0.30624,11.3715
1880552,-0.42664,0.452,13.41015
1880567,0.3071,-0.31297,9.32194
1880582,-0.49999,0.21662,11.96811
1880597,-0.07301,-0.1499,12.10446
1880612,0.32817,-0.30386,10.35898
1880629,-0.3484,0.24879,13.8329
1880644,0.69392,-0.52843,11.10062
1880660,0.05047,0.34929,12.48531
1880674,-0.41464,0.87924,13.64062
1880690,0.44771,-0.28667,10.23247
1880705,-0.1943,0.31249,12.80256
1880718,-0.16526,0.15977,12.0442
1880735,0.44215,-0.2046,10.06121
1880748,-0.44892,0.14003,14.1389
1880762,0.15757,-0.1602,11.17553
1880776,0.37727,-0.08059,10.97613
1880789,-0.51089,0.34256,14.23205
1880805,0.40821,-0.05127,9.59824
1880823,0.25786,0.14579,12.48173
1880836,-0.32932,0.52098,13.48847
1880851,0.62371,-0.64764,10.44211
1880865,-0.03654,-0.14915,12.34142
1880879,-0.44615,0.33147,10.66383
1880893,0.56078,-0.65733,10.19046
1880908,0.03832,-0.03051,13.44226
1880924,-0.22173,0.07325,9.3376
1880938,0.17105,-0.59233,10.00254
1880951,-0.31348,0.04357,12.71904
1880966,0.15495,0.18066,9.2851
1880980,0.31606,-0.38081,11.28452
1880994,-0.5026,0.31396,13.59805
1881008,0.16148,-0.16902,9.48489
1881024,0.23801,-0.12973,11.95639
1881040,-0.38126,0.49928,11.27347
1881054,0.54095,-0.21187,9.87813
1881070,0.2458,0.05105,13.54559
1881084,-0.28772,0.55261,10.23286
1881100,0.22055,-0.46341,10.94757
1881114,-0.32343,0.0815,13.48631
1881130,0.0553,0.27361,9.64073
1881145,0.57599,-0.31652,11.95785
1881159,-0.27614,0.32938,11.71058
1881174,0.48172,-0.22043,9.20274
1881190,0.23872,-0.14271,13.26808
1881204,-0.36332,0.54447,9.57942
1881219,0.50312,-0.38517,10.63031
1881234,0.35914,-0.06048,14.12185
1881250,-0.21999,0.3774,10.5047
1881265,0.41242,-0.82271,12.78623
1881280,-0.36229,-0.14417,13.08085
1881295,0.32726,-0.16961,10.55812
1881309,0.38301,-0.41168,14.38096
1881323,-0.35878,0.34088,11.1077
1881338,0.42818,-0.13377,10.19645
1881352,0.4216,-0.2742,13.76674
1881366,-0.38576,0.42157,10.4122
1881381,0.43199,-0.02931,11.71811
1881397,-0.03815,0.18354,14.28257
1881412,-0.49453,0.66235,10.20992
1881428,0.25041,-0.53105,13.73329
1881443,-0.45762,0.24047,11.80021
1881458,0.06118,0.26007,10.36547
1881473,0.24409,-0.46984,14.02643
1881488,-0.39819,0.22951,10.1581
1881502,0.44645,-0.15369,11.38002
1881518,0.43809,-0.49277,13.52675
1881533,-0.27057,0.32112,10.34388
1881548,0.64853,-0.78247,12.85829
1881563,0.07135,-0.28856,11.78869
1881580,-0.06501,0.13624,10.8055
1881594,0.29849,-0.90703,13.31488
1881610,-0.32011,0.10145,9.4074
1881626,0.43227,-0.35476,11.40931
1881641,0.29673,-0.17108,12.73917
1881657,-0.58609,0.48855,9.46338
1881673,0.38788,-0.69175,13.64266
1881687,-0.38503,0.05769,9.94557
1881703,-0.15266,0.39237,11.19738
