time,ax,ay,az
2096087,0.46219,0.396,10.93876
2096104,-0.48124,-0.29914,10.17006
2096118,0.25341,0.53566,12.31925
2096133,-0.20509,-0.87737,9.3011
2096147,0.29007,0.48636,14.21671
2096164,0.19593,-0.69299,12.12595
2096180,0.03204,0.38008,13.22255
2096195,0.49109,-0.14925,11.1886
2096210,-0.40947,0.03834,11.57363
2096227,0.44158,0.20401,10.35322
2096243,-0.5783,0.0592,11.58269
2096259,0.43097,0.33907,11.0476
2096274,-0.25729,-0.47915,10.43812
2096288,0.18387,0.54884,14.06518
2096304,-0.05072,-0.91075,10.81484
2096320,0.34544,0.51963,14.20936
2096335,0.31012,-0.42328,10.34849
2096350,-0.15437,0.54413,12.37362
2096364,0.34831,0.17609,11.4376
2096381,-0.55569,0.08109,11.69849
2096398,0.33183,0.21786,11.08434
2096412,-0.5045,-0.16034,10.99023
2096427,0.13476,0.51145,13.92091
2096442,0.04041,-0.5979,10.28833
2096458,0.22501,0.46145,14.24981
2096472,0.4679,-0.49367,10.1761
2096486,-0.37824,0.39587,12.1891
2096502,0.42111,-0.07865,10.13991
2096516,-0.46162,-0.07617,10.27997
2096534,0.00361,0.35075,12.13519
2096549,-0.26859,-0.25244,10.89554
2096565,0.2093,0.39599,14.31976
2096578,0.28798,-0.7506,10.56978
2096592,-0.20082,0.30518,12.19227
2096606,0.40173,-0.04403,10.86401
2096622,-0.53169,0.00599,11.8728
2096638,0.1731,0.15799,10.63331
2096653,-0.27995,-0.0222,11.1094
2096668,0.22273,0.44794,13.64658
2096683,0.15708,-0.82466,10.37727
2096699,-0.0821,0.2065,14.85546
2096713,0.42802,-0.76056,10.66016
2096728,-0.48966,0.26876,12.39589
2096742,0.34532,0.05451,11.07038
2096757,-0.08581,-0.26423,10.09028
2096771,0.25086,0.06195,12.98865
2096786,0.3742,-0.70305,9.96426
2096800,0.02608,0.37607,13.85459
2096815,0.71692,-0.52086,10.14975
2096831,-0.29259,0.34591,12.54523
2096846,0.41879,-0.12586,9.74857
2096860,-0.14072,-0.03091,10.63142
2096877,0.10559,0.31201,10.67964
2096893,-0.08578,-0.05164,10.10425
2096908,0.29214,0.40575,14.36709
2096923,0.13884,-0.41238,10.47969
2096938,-0.00872,0.58858,14.90761
2096952,0.63151,-0.49099,9.91115
2096969,-0.45585,0.67009,12.8854
2096984,0.47715,-0.23259,11.08635
2097000,-0.52119,0.44215,11.22547
2097018,0.25765,-0.19408,9.58711
2097033,-0.42748,0.20302,10.63834
2097046,0.27799,0.31993,12.94508
2097063,0.18652,-0.08307,10.18658
2097076,-0.0627,0.65536,14.13833
2097091,0.47759,-0.74389,9.88088
2097105,-0.40755,0.37469,10.75199
2097119,0.30038,-0.16295,11.02727
2097133,0.03807,-0.1778,9.93443
2097148,0.2168,0.47066,14.53862
2097163,0.31525,-0.55336,11.50334
2097177,-0.46412,0.38602,14.24712
2097193,0.62624,-0.66738,10.35232
2097209,-0.60554,0.53785,12.21714
2097224,0.47536,-0.21106,10.98395
2097241,-0.2526,0.48375,11.26219
2097255,0.25117,0.26623,12.89076
2097270,0.26918,-0.00864,9.38944
2097285,0.30331,0.3964,14.60879
2097301,0.43483,-0.43311,9.66725
2097317,0.09317,0.44676,13.46538
2097332,0.73568,-0.92512,9.73744
2097347,-0.28901,0.66902,11.6431
2097361,0.43985,-0.44941,9.83799
2097377,-0.40566,0.34984,10.25981
2097393,0.13626,-0.03506,10.94198
2097408,0.00607,0.14958,9.59726
2097424,0.38162,0.44799,13.65573
2097438,0.53569,-0.52198,9.64023
2097452,-0.42602,0.56422,13.33252
2097469,0.62657,-0.86046,10.0072
2097485,-0.62075,0.59071,12.42248
2097501,0.57634,-0.68431,10.22985
2097516,-0.28601,0.33256,11.65469
2097531,0.36925,-0.2183,11.87729
2097544,0.24787,-0.0692,10.75218
2097557,-0.49954,0.53583,14.81257
2097570,0.05244,-0.76234,9.50235
2097584,-0.39038,0.37112,11.29294
2097599,0.19387,0.02751,11.91153
2097614,0.06221,0.27644,10.09847
2097630,0.15411,0.38391,13.65613
2097644,0.4882,-0.35736,10.09427
2097658,-0.37206,0.69313,13.20096
2097674,0.52002,-0.73217,10.39698
2097688,-0.23266,0.7519,11.44011
2097703,0.21258,-0.41613,11.58309
2097718,0.14825,0.11597,10.55076
2097734,0.25383,0.01044,13.81605
2097750,0.40207,-0.00868,10.75344
2097764,-0.17126,0.41654,14.55629
2097780,0.67709,-0.75019,11.27891
2097794,-0.29255,0.23848,12.74839
2097811,0.37781,-0.78534,10.14935
2097827,-0.2468,0.21319,11.85863
2097841,0.39186,-0.41726,10.65135
2097856,0.32861,0.37507,8.68963
2097871,-0.00275,0.30757,14.19934
2097889,0.27338,0.25032,10.36489
2097904,-0.03054,0.33407,14.25288
2097921,0.51014,0.1185,9.42488
2097935,-0.40793,0.42788,14.24404
2097951,0.56123,-0.27767,10.87277
2097967,-0.34999,0.45703,13.23997
2097981,0.15234,-0.54489,10.54062
2097995,0.00842,0.30969,11.43488
2098012,0.2228,-0.2654,11.7468
2098027,0.40996,0.2997,9.56708
2098042,-0.04179,0.11214,14.59836
2098057,0.52228,-0.13839,10.16612
2098072,-0.3025,0.35027,13.06571
2098087,0.28911,-0.63907,10.40894
2098103,-0.3892,0.56634,11.28186
2098119,0.25946,-0.72965,9.37015
2098134,0.10524,0.34284,9.81306
2098151,0.34452,-0.63113,9.80534
2098165,0.11745,0.45174,9.39308
2098179,-0.1109,0.29768,13.4981
2098195,0.52854,0.10702,9.16065
2098210,-0.33505,0.30863,13.25385
2098226,0.32,-0.42498,9.89863
2098242,-0.54446,0.41731,12.40042
2098256,0.21423,-0.68006,9.1976
2098273,-0.31311,0.55413,10.35414
2098288,0.1746,-0.67177,11.51757
2098306,0.03701,0.42674,11.31029
2098321,-0.01461,-0.45845,12.45536
2098335,0.39599,0.27702,9.98839
2098350,-0.35387,0.25316,14.27002
2098365,0.52951,-0.02769,10.86248
2098383,-0.37243,0.40809,14.40735
2098397,0.4477,-0.46647,10.82503
2098412,-0.0945,0.36249,11.51857
2098426,0.24373,-0.82778,11.31315
2098442,0.21357,0.39589,10.55697
2098457,0.02055,-0.235,12.98311
2098472,0.48696,0.19738,10.29818
2098485,-0.54193,0.14694,13.66811
2098500,0.28119,-0.53867,10.03656
2098515,-0.35676,0.53098,11.08939
2098531,0.21187,-0.71675,10.62109
2098546,0.1356,0.33646,10.59606
2098560,-0.00808,-0.43975,13.75433
2098576,0.43164,0.45525,9.8567
2098590,-0.52972,0.30929,13.55758
2098604,0.42885,-0.28693,10.25623
2098620,-0.3028,0.58444,11.80456
2098634,0.24381,-0.78225,10.62217
2098648,0.30495,0.67181,10.75401
2098662,-0.12799,-0.20423,14.32672
2098676,0.46394,0.03171,11.5172
2098690,-0.53261,0.33512,13.24829
2098705,0.2919,-0.68056,10.42658
2098721,-0.24401,0.43734,10.40265
2098737,0.18179,-0.70945,9.65389
2098752,0.35639,0.64205,10.0613
2098767,0.17654,-0.50652,13.07749
2098781,0.57112,0.46829,10.82955
2098797,-0.44142,0.21113,14.20191
2098812,0.51918,0.20425,10.89363
2098828,-0.47598,0.39233,12.55492
2098843,0.3067,-0.24912,10.58482
2098858,0.26318,0.58976,10.04209
2098872,0.13044,-0.81143,11.0271
2098886,0.52962,0.31775,9.99865
2098901,-0.34019,-0.19303,14.81165
2098915,0.32825,-0.01977,11.02582
2098930,-0.34168,0.45823,13.20021
2098945,-0.03703,-0.56808,11.37237
2098961,0.03934,0.49864,11.47767
2098974,0.19346,-0.77158,13.22402
2098988,0.50363,0.35258,10.57535
2099002,-0.30316,0.28364,14.28765
2099019,0.33641,-0.02119,10.77942
2099033,-0.33372,0.34397,12.34389
2099049,0.0278,-0.31685,10.67095
2099063,0.11645,0.76847,10.93828
2099077,-0.19266,-0.50384,12.09321
2099093,0.60727,0.53726,9.86378
2099108,-0.18704,-0.29665,13.68635
2099123,0.44403,0.23151,10.36249
2099138,-0.27756,0.24577,13.74782
2099152,0.1989,-0.25648,10.23534
2099169,0.05962,0.35405,11.74376
2099186,0.27187,-0.266,10.25892
2099200,0.34096,0.55564,10.20357
2099215,-0.16063,-0.78915,12.2461
2099230,0.51657,0.39179,10.43267
2099243,-0.4265,0.02582,13.54193
2099257,0.39253,0.15747,10.34035
2099271,0.25757,0.42993,11.45792
2099285,0.22588,-0.62034,12.34553
2099299,0.61436,0.4227,10.76689
2099314,-0.36546,-0.3036,14.92607
2099328,0.34054,0.24897,11.72062
2099342,0.06311,0.37887,12.07091
2099357,0.15854,-0.21472,9.80187
2099371,0.30589,0.53825,9.8645
2099387,-0.02706,-0.68093,12.61656
2099402,0.63334,0.46805,10.50502
2099418,-0.38949,-0.38527,14.09125
2099435,0.50787,0.46304,10.67075
2099450,-0.51792,-0.17095,14.86778
2099464,0.13963,0.19482,11.08305
2099478,-0.0129,0.11948,12.03038
2099494,0.17403,-0.42511,10.88897
2099508,0.49902,0.01103,10.17674
2099522,-0.28163,-0.55953,14.48432
2099536,0.37127,0.41313,10.85999
2099550,-0.0666,0.06055,13.33057
2099565,0.27632,-0.17747,10.65572
2099581,0.11609,0.20451,11.42128
2099597,0.14752,-0.27953,10.34103
2099612,0.4538,0.35878,11.18654
2099626,-0.40934,-0.75145,14.24094
2099640,0.40117,0.29002,10.5402
2099655,-0.54889,-0.20649,14.52911
2099669,0.2558,0.05669,10.64686
2099683,0.28864,0.38795,11.47999
2099698,-0.09284,-0.5318,11.78589
2099713,0.59936,0.46293,10.071
2099730,-0.32966,-0.77262,13.67155
2099745,0.55699,0.5399,10.35888
2099762,-0.49931,-0.78977,13.10978
2099777,0.33678,0.45147,9.41694
2099794,-0.30081,-0.27833,14.03901
2099809,0.21147,0.44029,10.33437
2099824,0.10686,0.19548,12.84882
2099839,0.3198,0.10285,10.25965
2099855,0.28629,0.32851,11.47992
2099871,-0.06762,-0.28581,11.90993
2099888,0.32583,0.55382,11.38102
2099903,-0.31673,-0.74695,13.42378
2099919,0.54725,0.71583,10.81929
2099934,-0.6875,-0.55541,15.81884
2099951,0.53638,0.74147,10.54453
2099966,-0.58171,-0.56381,15.56337
2099981,0.11552,0.26067,9.18932
2099994,0.13995,0.2273,11.42589
2100008,-0.1062,-0.28197,11.48032
2100022,0.71871,0.61667,9.53887
2100037,-0.43696,-0.90415,13.89731
2100053,0.40093,0.37535,10.50276
2100067,-0.10445,-0.32226,13.66633
2100081,0.12972,0.16823,10.71843
2100098,0.13726,0.14485,12.19758
2100113,0.10164,-0.13988,10.2833
2100127,0.50812,0.66273,9.61583
2100142,-0.46985,-0.68541,13.14472
2100155,0.37823,0.77824,9.54928
2100169,0.079,-0.16635,12.31177
2100185,0.33631,0.33679,10.42076
2100199,0.37135,0.31328,10.82811
2100215,0.04424,-0.0033,11.95423
2100230,0.76643,0.5677,10.69748
2100245,-0.33988,-0.80744,14.15512
2100259,0.30253,0.55521,9.88034
2100274,-0.28524,-0.49668,13.8581
2100289,0.11835,0.29531,10.5752
2100304,0.21144,0.14,11.82125
2100319,0.04598,-0.063,11.07794
2100334,0.60717,0.50741,10.40063
2100348,-0.2477,-0.64314,13.97968
2100362,0.31075,0.84391,10.80004
2100377,-0.11066,-0.38745,13.03566
2100390,-0.00463,0.26112,10.34574
2100404,0.40363,0.44208,10.1426
2100418,-0.46751,-0.50309,12.87151
2100432,0.35533,0.56894,9.87862
2100447,-0.07777,-0.78795,14.8343
2100463,0.16714,0.30162,10.23117
2100477,0.34532,-0.24735,12.10971
2100492,0.08922,-0.08221,10.78996
2100509,0.40295,0.12992,12.10221
2100526,-0.07098,0.04055,11.01574
2100541,0.5613,0.53095,10.31812
2100556,-0.5853,-0.26944,13.50233
2100572,0.32672,0.29025,11.09326
2100586,-0.39549,-0.8198,14.6788
2100600,0.30262,0.38958,10.29787
2100614,0.34045,-0.11479,11.96874
2100630,0.10823,0.25837,10.375
2100647,0.57203,0.24193,10.9566
2100661,-0.37492,0.00865,11.1418
2100678,0.49084,0.51261,10.56525
2100693,-0.53861,-0.2341,13.61731
2100706,0.21375,0.43831,11.01985
2100721,0.0294,-0.60951,13.91061
2100735,0.09418,0.27444,10.03259
2100751,0.41942,-0.17867,12.1333
2100765,-0.35961,-0.06117,11.88859
2100780,0.42053,0.2159,10.18988
2100795,-0.61353,-0.65706,14.65844
2100809,0.26184,0.43009,10.87712
2100823,0.14851,-0.50087,13.89545
2100839,0.21151,0.49601,10.61352
2100854,0.32204,0.05941,11.07501
2100868,-0.45279,-0.0509,10.6791
2100882,0.33738,0.40933,8.68942
2100897,-0.43187,-0.56191,14.33474
2100910,0.32476,0.5165,10.59422
2100926,0.06911,-0.45168,13.20013
2100941,-0.01448,0.38877,9.6835
2100957,0.30346,-0.15442,10.5143
2100972,-0.47147,0.09736,9.98197
2100987,0.39155,0.1489,10.56387
2101001,-0.51028,-0.64008,14.12428
2101015,0.12076,0.30318,10.32103
2101030,0.10833,-0.67537,13.99808
2101046,0.13114,0.24498,10.77967
2101060,0.35162,-0.13416,11.36244
2101075,-0.46621,0.04042,10.41535
2101089,0.28565,0.41683,10.3199
2101104,-0.29351,-0.33638,14.66723
2101120,0.49708,0.40007,10.4215
2101135,0.024,-0.79867,13.93186
2101150,0.20009,0.40006,10.49763
2101165,0.50393,-0.5655,11.38216
2101179,-0.36596,0.13906,10.67242
2101193,0.53196,0.23735,10.48734
2101208,-0.27859,-0.37177,13.12244
2101226,0.46943,0.34577,9.7348
2101239,0.04338,-0.70846,14.39328
2101253,0.10472,0.57319,10.49229
2101268,0.37822,-0.70391,11.10938
2101285,-0.05715,0.31754,9.76622
2101300,0.3222,-0.17677,10.28035
2101316,-0.46019,0.37558,10.99352
2101330,0.44036,0.35126,10.6426
2101345,-0.18319,-0.48941,13.02893
2101360,0.36959,0.29093,10.35169
2101374,0.26788,-0.92002,13.59893
2101390,0.10788,0.51906,11.02241
2101406,0.20882,-0.76693,11.48118
2101421,-0.34483,0.38436,10.06034
2101439,0.70252,-0.58157,11.89705
2101453,-0.54703,0.2211,11.14941
2101470,0.54755,-0.14045,10.58532
2101485,-0.30784,-0.02989,12.96221
2101500,0.2551,0.46962,10.14541
2101515,-0.09814,-0.43912,14.10387
2101530,0.1657,0.86829,10.41957
2101547,0.27245,-0.64333,12.73196
2101563,0.27257,0.55725,10.33178
2101576,0.67746,-0.42772,10.5681
2101592,-0.29979,0.6721,10.92016
2101607,0.29474,-0.07106,10.21058
2101621,-0.22992,-0.09935,12.50893
2101635,0.12268,0.52153,10.35618
2101650,0.22861,-0.5436,14.09145
2101665,0.08456,0.67265,10.10953
2101680,0.57752,-0.86707,11.31713
2101694,-0.26855,0.28161,10.58661
2101709,0.39357,-0.06492,10.58536
2101724,-0.06494,0.04046,14.40288
2101738,0.37581,0.39908,11.30723
2101752,0.34755,-0.76409,13.63474
2101766,-0.22476,0.55582,10.36195
2101783,0.54496,-0.8658,11.78546
2101797,-0.533,0.28415,11.56216
2101811,0.27318,0.09923,10.00513
2101825,-0.03678,-0.40966,14.35783
2101839,0.13552,0.39328,10.38013
2101854,0.50923,-0.8681,11.55289
2101870,-0.1424,0.45075,10.76942
2101884,0.50004,-0.60882,11.55471
2101900,-0.65141,0.25131,11.86733
2101918,0.51704,-0.57777,10.40462
2101934,-0.33998,0.35453,11.84872
2101948,0.23756,0.32962,9.83458
2101962,0.14194,-0.09876,14.51189
2101977,0.06905,0.49199,9.9352
2101991,0.60433,-0.63347,11.94614
