time,ax,ay,az
2193778,0.42061,-0.41283,9.9231
2193793,-0.93779,0.54229,14.35469
2193809,0.622,-0.54987,10.3026
2193823,-0.14814,-0.02649,11.20401
2193839,0.55286,-0.17419,10.13228
2193854,-0.21907,0.05751,9.02167
2193870,-0.49715,0.1473,13.67533
2193885,0.13126,-0.48641,10.50374
2193899,-0.75172,0.38774,13.04364
2193917,0.718,-0.43715,10.42222
2193932,-0.23653,0.38621,12.38074
2193948,0.61063,-0.26011,11.34843
2193964,-0.19876,-0.01857,9.39984
2193978,-0.20225,0.08631,13.69454
2193993,0.18709,-0.19929,10.48406
2194008,-0.70067,0.51815,13.61402
2194022,0.46287,-0.37529,10.61138
2194036,-0.06508,0.13155,9.708
2194051,0.44641,0.0454,14.36738
2194066,0.354,-0.02674,11.30354
2194081,-1.07794,0.32546,13.5582
2194094,0.52323,-0.45085,10.50165
2194109,-0.46094,0.15175,8.98144
2194125,0.49316,-0.12327,13.50896
2194140,-0.11678,0.03057,10.67444
2194154,-0.84224,0.13177,13.1688
2194170,0.15029,-0.37397,9.8957
2194185,-0.68822,0.33499,10.06505
2194202,0.7753,-0.47422,11.44712
2194216,-0.40753,0.3057,10.09812
2194231,-0.02946,-0.12231,14.28216
2194246,-0.09661,0.0482,10.43042
2194259,-0.71631,0.31087,10.80492
2194276,0.39688,-0.22582,11.46295
2194291,-0.53017,0.48212,10.45671
2194305,0.48564,-0.39949,14.43799
2194319,-0.44795,-0.00373,9.92205
2194335,-0.63231,-0.02886,11.72778
2194350,0.34217,-0.03358,10.46427
2194366,-0.81925,0.33157,9.79416
2194381,0.61966,-0.47491,13.48147
2194396,-0.05009,0.36502,10.55976
2194411,0.8458,-0.24156,13.62263
2194426,0.4778,0.22968,10.50103
2194441,-0.20619,0.04404,10.96677
2194455,0.94101,-0.13955,13.15868
2194469,-0.02652,0.45917,10.14967
2194483,0.82178,-0.38396,12.63345
2194497,0.3113,0.23358,10.44935
2194510,-0.89112,0.23062,9.84265
2194528,0.17868,-0.1866,13.23527
2194546,-0.69622,-0.00181,9.18629
2194561,0.64203,-0.43174,13.9603
2194576,0.03494,0.38095,10.59583
2194591,0.96006,-0.61305,12.74632
2194606,0.30892,0.17048,10.7116
2194621,-0.26198,-0.17937,9.34646
2194636,0.75867,0.05177,13.13382
2194651,-0.51883,0.21017,10.30553
2194667,0.55626,-0.35511,13.71021
2194681,0.11381,0.491,10.15041
2194696,0.52471,-0.41253,10.29976
2194711,0.37083,0.20301,12.7487
2194726,-0.47745,-0.02597,10.53063
2194743,0.50389,0.01481,14.21554
2194757,-0.34123,0.25156,10.44614
2194771,0.62579,-0.51709,11.11249
2194785,0.2008,0.36881,12.14208
2194799,-0.66509,-0.08482,10.19457
2194813,0.34425,0.0561,13.68271
2194827,-0.11426,0.42114,9.80963
2194840,0.3863,-0.58637,9.17422
2194855,-0.02414,0.41954,13.3286
2194871,-0.55988,-0.18591,10.63504
2194885,0.50218,0.05518,13.94858
2194902,-0.70019,0.12033,10.63206
2194919,0.90476,-0.04277,12.2744
2194933,0.24165,0.39543,11.38297
2194948,0.70865,-0.6046,10.10496
2194964,0.15721,0.37336,14.30563
2194981,0.02362,-0.61229,9.92066
2194995,0.6859,0.13037,13.41797
2195010,-0.48724,-0.25216,10.36793
2195026,0.72748,-0.30241,11.54115
2195043,-0.28494,-0.03467,11.10798
2195059,0.81701,-0.15342,9.67895
2195075,-0.12946,0.2974,13.31858
2195091,0.22087,-0.59993,10.36145
2195107,-0.08228,0.42772,14.18559
2195122,-0.59001,-0.32634,10.76759
2195137,0.43369,0.27044,11.83428
2195153,-0.4582,-0.00333,10.4854
2195167,0.72896,-0.24477,9.48121
2195182,-0.05335,0.1961,13.91781
2195199,0.33632,-0.36802,9.9109
2195214,0.23488,0.33741,12.40622
2195231,-0.36895,-0.50377,9.8227
2195245,0.26564,-0.00731,10.7158
2195259,-0.3627,-0.10215,12.07087
2195273,0.44426,-0.21068,10.16575
2195288,0.22138,0.32317,13.52816
2195303,-0.45649,-0.45587,10.76954
2195317,0.17093,0.13772,10.49755
2195332,-0.46101,-0.18004,12.26124
2195347,0.82549,0.04213,9.62104
2195362,0.04152,0.06071,13.70479
2195378,0.13634,-0.25908,10.40803
2195392,-0.28149,0.37574,11.6289
2195407,-0.99821,-0.48901,11.78226
2195423,0.19391,0.31776,9.69052
2195438,-0.37473,-0.25747,14.4095
2195454,0.56426,-0.2063,10.99831
2195469,0.00882,-0.05775,13.69756
2195484,0.24901,-0.19355,9.7502
2195500,0.34545,0.35241,10.30341
2195514,-0.50962,-0.41485,12.53198
2195528,0.62256,0.21466,10.41541
2195544,0.00344,0.04335,13.84919
2195559,0.72474,0.19296,9.83073
2195574,0.17558,0.21933,11.38004
2195591,0.09567,-0.314,10.64109
2195605,0.65058,0.30525,9.23259
2195621,-0.35979,-0.61931,14.16619
2195635,0.89712,0.08338,10.47236
2195648,0.18384,-0.09809,12.09212
2195662,-0.32791,-0.24718,11.83981
2195678,-0.02382,0.41663,10.04971
2195692,-0.88704,-0.48316,14.68142
2195708,0.59306,0.3594,10.94525
2195725,-0.50494,-0.4896,14.33312
2195741,0.70248,0.1448,10.82015
2195755,0.23618,-0.03676,10.76097
2195770,-0.22552,0.00164,12.40614
2195785,0.13933,0.42615,9.23509
2195802,-0.92986,-0.33815,13.72543
2195819,0.27784,0.45575,10.97034
2195834,-0.79474,-0.65604,13.44766
2195847,0.47044,0.23727,10.41575
2195863,0.14042,-0.26866,9.74963
2195879,0.10394,-0.07903,12.86452
2195894,-0.01299,0.10911,10.30796
2195909,-0.62949,-0.40159,14.41248
2195922,0.48174,0.46271,9.75902
2195937,-0.14178,-0.37978,9.8817
2195954,0.37509,0.42256,11.86152
2195970,-0.11554,-0.08905,9.67902
2195985,-0.24306,0.06447,13.83531
2195999,0.17199,0.34838,10.23916
