trial_id,mass_g,source_file,feature_scope,sample_count,duration_ms,median_sample_rate_hz,axis_correlation_xy,axis_correlation_xz,axis_correlation_yz,ax_mean,ax_std,ax_rms_centered,ax_mean_abs_centered,ax_median_abs_deviation,ax_peak_abs_centered,ax_peak_to_peak,ax_crest_factor,ax_skewness,ax_excess_kurtosis,ax_dominant_frequency_hz,ax_spectral_centroid_hz,ax_spectral_entropy,ax_relative_power_0_5_hz,ax_relative_power_5_15_hz,ax_relative_power_15_30_hz,ay_mean,ay_std,ay_rms_centered,ay_mean_abs_centered,ay_median_abs_deviation,ay_peak_abs_centered,ay_peak_to_peak,ay_crest_factor,ay_skewness,ay_excess_kurtosis,ay_dominant_frequency_hz,ay_spectral_centroid_hz,ay_spectral_entropy,ay_relative_power_0_5_hz,ay_relative_power_5_15_hz,ay_relative_power_15_30_hz,az_mean,az_std,az_rms_centered,az_mean_abs_centered,az_median_abs_deviation,az_peak_abs_centered,az_peak_to_peak,az_crest_factor,az_skewness,az_excess_kurtosis,az_dominant_frequency_hz,az_spectral_centroid_hz,az_spectral_entropy,az_relative_power_0_5_hz,az_relative_power_5_15_hz,az_relative_power_15_30_hz,magnitude_mean,magnitude_std,magnitude_rms_centered,magnitude_mean_abs_centered,magnitude_median_abs_deviation,magnitude_peak_abs_centered,magnitude_peak_to_peak,magnitude_crest_factor,magnitude_skewness,magnitude_excess_kurtosis,magnitude_dominant_frequency_hz,magnitude_spectral_centroid_hz,magnitude_spectral_entropy,magnitude_relative_power_0_5_hz,magnitude_relative_power_5_15_hz,magnitude_relative_power_15_30_hz
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,full_trial,707.0,10256.0,71.42857142857143,0.20551830188685272,0.8062808066163974,-0.22140409825538632,0.15828854314002827,0.4059316717351327,0.4059316717351327,0.3308283901738325,0.30000000000000004,0.9282885431400283,1.73,2.286809844553665,-0.10900127692625476,-0.856800083220612,26.678280709729357,19.23392692021502,0.8311652216230974,0.0782239536690763,0.2777952706423751,0.5928573503595954,0.06391796322489392,0.2682702917259488,0.2682702917259488,0.2373349151443736,0.24000000000000002,0.563917963224894,1.12,2.1020514779957957,0.13504830615578345,-1.2550135030098921,26.678280709729357,19.53796350025454,0.7972394046555807,0.04597507751753751,0.31949012998434356,0.6199723662149063,11.54087694483734,1.5192608082642904,1.5192608082642904,1.3152249179252133,1.209999999999999,3.259123055162661,5.91,2.145203139206961,0.34743472643882084,-0.9500830809724876,26.678280709729357,22.57938115413874,0.7274094440315318,0.06740049044967551,0.13440641480637022,0.7489125446501359,1.4073709398226149,0.7511390768766332,0.7511390768766332,0.6180305571321307,0.5571453301911659,1.9084242850952384,3.2725112325164187,2.5407069660532087,0.40904497304607873,-0.5484945486059711,15.67592406666579,15.499267230613352,0.8761499616142454,0.13570059114625335,0.3092031176060649,0.498200375093177
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,full_trial,865.0,12503.0,71.42857142857143,0.2686559247838231,0.6819054430767066,0.821586910967081,0.0628092485549133,0.20505201236695023,0.20505201236695023,0.18230591065521734,0.18,0.47280924855491324,0.9099999999999999,2.305801552967931,0.059894966709375254,-1.1892662939509173,24.60560910468431,23.71254642556851,0.738282786600077,0.03669573878603764,0.08165381309539999,0.8512125444537795,0.03101734104046243,0.16620102299958664,0.16620102299958664,0.1476778776437569,0.15,0.47898265895953757,0.8300000000000001,2.881947717979623,0.13954693467957122,-1.262447183778644,25.08493915217816,23.502515474549995,0.7607527771424648,0.030530677278031736,0.10297217541607077,0.839954381639965,11.469202312138728,1.0257493804237665,1.0257493804237665,0.8858335393765244,0.8199999999999985,2.1607976878612725,4.010000000000002,2.1065551967173355,0.13903247254349635,-0.9997753043205444,24.60560910468431,24.637681670344836,0.6973367416990786,0.01745293703212462,0.04773655036592472,0.9259867298704288,0.9422768147944901,0.4836789261093936,0.4836789261093936,0.40775505543927754,0.3497395970971239,1.244409217982216,2.050440028905825,2.5728001589648914,0.5514799031588278,-0.7124699305056521,18.933536876007082,17.63723606191011,0.8480570398376093,0.049385453513478915,0.21608281166008877,0.6772764816732278
mass_0.00g_trial_03,0.0,data/cleaned/0.00g/mass_0.00g_trial_03.csv,full_trial,860.0,12410.0,71.42857142857143,0.4201150546399473,0.7924871620147633,0.8304884762835437,0.05267441860465117,0.20670405998760558,0.20670405998760558,0.18381882098431582,0.19,0.4173255813953488,0.83,2.0189520293910657,0.019538141053457445,-1.2669760235303307,21.8923223956673,20.034922987410724,0.5991814462343537,0.056579864292361885,0.06298706698158232,0.8723265635118859,0.03686046511627907,0.15377771353866274,0.15377771353866274,0.13193699296917252,0.13,0.36686046511627907,0.73,2.3856543102004384,0.03339937434284609,-1.047756464887206,21.8923223956673,19.235447543387476,0.6383615059023533,0.09112890120435944,0.07149333714002658,0.8287029362455903,11.51006976744186,1.0397579077652697,1.0397579077652697,0.9158136289886426,0.7899999999999991,2.04006976744186,3.9499999999999993,1.9620622764260003,-0.025167687275817616,-1.1049560806301204,21.8923223956673,20.742300440134176,0.5584408413185101,0.03496440242395846,0.04372549820929688,0.9130203952626033,0.9578470937358147,0.4795827409100574,0.4795827409100574,0.40549963377498927,0.3089105970636752,1.1238816802595535,1.9413429597107599,2.3434573106756775,0.45714289978021766,-0.8662818707423021,25.675186927271575,19.879392505801622,0.8004086235826832,0.09163091250127943,0.19344448927009603,0.6974474349253084
mass_0.00g_trial_04,0.0,data/cleaned/0.00g/mass_0.00g_trial_04.csv,full_trial,934.0,13500.0,71.42857142857143,0.42766343985914274,0.7789494820735806,0.8403853078584285,0.05274089935760172,0.205604512406959,0.205604512406959,0.18263002719073404,0.18,0.43274089935760174,0.85,2.1047247178168202,-0.062980848091065,-1.2299118342249162,20.348560551983912,19.6034230386078,0.5359458381051777,0.011033395681166501,0.07226339367940929,0.9046541262941696,0.03822269807280514,0.15115702826391147,0.15115702826391147,0.1293852051226793,0.13,0.32822269807280513,0.61,2.1714021626552964,-0.024603663964086097,-1.0622133553282997,20.348560551983912,19.38711560139298,0.5479261122194844,0.01818963426811649,0.08738403002584202,0.8764698742553003,11.507334047109206,1.0570327655411247,1.0570327655411247,0.9341648593005608,0.8100000000000005,2.1373340471092064,4.0600000000000005,2.0220130508584995,-0.11908422287937714,-1.0951626125889384,20.348560551983912,20.043651801907604,0.49398579808058873,0.012298584558619877,0.03615103844376641,0.9313549018004499,0.9723480901686358,0.486805014033961,0.486805014033961,0.4085952485279126,0.3025484505608351,1.1882698832431942,2.054298360890461,2.4409565410932617,0.4918187223081104,-0.7404977145397291,28.192005710203166,23.279106631567522,0.747173432077601,0.05321098818664203,0.1736527982687949,0.7356415794277832
mass_0.00g_trial_05,0.0,data/cleaned/0.00g/mass_0.00g_trial_05.csv,full_trial,706.0,10203.0,71.42857142857143,0.44358420147949534,0.76514652173558,0.8540735692929418,0.052889518413597736,0.20239047813779323,0.20239047813779323,0.17975258608928732,0.18,0.4128895184135977,0.78,2.040063950698761,-0.10533657902524303,-1.265420410198214,19.378569709131806,19.18141066322079,0.5472944586809206,0.011489132034171779,0.0554180291108447,0.9229617874536158,0.04109065155807365,0.14993322497787703,0.14993322497787703,0.12932191896251474,0.13,0.3210906515580737,0.6100000000000001,2.141557694136515,-0.006066917835806579,-1.1280665826605274,19.378569709131806,18.983116380115572,0.5652636663613457,0.012530858686174278,0.0740464472768876,0.9024578146097602,11.512861189801699,1.0416185245584875,1.0416185245584875,0.9217683313404329,0.8899999999999997,2.172861189801699,4.040000000000001,2.086043151664102,-0.10529229162524688,-1.065271797417389,19.378569709131806,19.325512240057808,0.5283835686958824,0.005134608753119354,0.048780371572264634,0.9378676191710347,0.95967632149897,0.4768987169732342,0.4768987169732342,0.3933283579472541,0.2997774296152953,1.237968088933782,2.0491318895106856,2.5958721314892164,0.5843074956168244,-0.5677988751957579,29.75295551301045,23.76918811508892,0.7534593883680094,0.06308865521754292,0.17902017137044737,0.42693024996150924
mass_0.00g_trial_06,0.0,data/cleaned/0.00g/mass_0.00g_trial_06.csv,full_trial,731.0,10564.0,71.42857142857143,0.4131685797539027,0.737309857755777,0.846333163850456,0.058112175102599174,0.20276675460684254,0.20276675460684254,0.18310819839022682,0.18,0.3981121751025992,0.74,1.963399650374266,-0.15518909919144688,-1.3156186822694438,18.906323569551066,18.403577103467395,0.5299196743166503,0.016677594771444242,0.07148904623274051,0.8962547405804943,0.040068399452804375,0.1459367429443795,0.1459367429443795,0.12348659426866856,0.12000000000000001,0.34006839945280437,0.6499999999999999,2.330245232226498,-0.040395685137416384,-0.9891475706637878,18.906323569551066,18.505208815755278,0.5234652974212153,0.012900732431736619,0.06091414988704197,0.9117680951783196,11.508344733242133,1.010965797074905,1.010965797074905,0.8806582441458115,0.8000000000000007,2.168344733242133,4.040000000000001,2.144825017340794,-0.14420248849274306,-0.9695489659594907,18.906323569551066,18.607947439957922,0.5054885568147539,0.007367254956851365,0.053930915677480346,0.9216407209336744,0.9219292262044683,0.4842625676637972,0.4842625676637972,0.39740291083914886,0.2811135798297706,1.2794453945536761,2.0500819170213878,2.642048921365197,0.6016257329940953,-0.6119419794197909,31.00637065406375,24.342746221718464,0.7697487899114038,0.07010069072718206,0.17824608499921438,0.15223086636149494
mass_0.00g_trial_07,0.0,data/cleaned/0.00g/mass_0.00g_trial_07.csv,full_trial,717.0,10393.0,71.42857142857143,0.4405607729946382,0.7513420365662744,0.8582698840770664,0.04789400278940027,0.20164843657316478,0.20164843657316478,0.18223665552073667,0.18,0.3778940027894003,0.75,1.8740239657265467,-0.0670686814637708,-1.3491724493891508,18.832544864101884,18.22523966466505,0.5492885965530248,0.027836222847804473,0.06748545391658908,0.8904278872389048,0.03871687587168758,0.14842839881820102,0.14842839881820102,0.12791158729325078,0.13,0.30128312412831243,0.6000000000000001,2.0298212911218685,-0.0270539747651152,-1.1591597364968957,18.832544864101884,18.67676146340176,0.517168931094835,0.014500243808389995,0.039707476683600126,0.9326293116447902,11.518856345885634,1.0272712783019027,1.0272712783019027,0.9037290819293937,0.8399999999999999,2.068856345885635,3.91,2.0139337968306585,-0.14731948765149142,-1.0811929893011045,18.832544864101884,18.689063268575303,0.4943783517477316,0.009820234591445556,0.037381810582167795,0.9393068910917944,0.9445221649453093,0.47524440101824245,0.47524440101824245,0.3896333645503886,0.2973236635122678,1.1482564456267712,1.9822795630342038,2.4161388186090273,0.47216742086568547,-0.6748222578524898,30.93918084816738,24.304665520408495,0.7718297859206232,0.08780357673004274,0.16070588001334407,0.12435120970488724
mass_0.00g_trial_08,0.0,data/cleaned/0.00g/mass_0.00g_trial_08.csv,full_trial,725.0,10508.0,71.42857142857143,0.3930779669720976,0.7092677544436785,0.7961136471569784,0.06255172413793103,0.21988454434510613,0.21988454434510613,0.1875413079667063,0.18,1.457448275862069,2.27,6.628243382011523,0.2782713493697503,1.9039577633301272,17.866453145723366,17.56240830914168,0.6682488431231891,0.060099535149787935,0.07353512720636726,0.8134196715756326,0.04286896551724138,0.16273537881978678,0.16273537881978678,0.1343082996432818,0.13,1.0028689655172414,1.76,6.162574928638098,-0.08445502936475938,1.9104122312430478,17.581350169993737,17.673262470895885,0.6556412161779318,0.03581215318511064,0.07878916010697906,0.8605666255659055,11.515889655172414,1.047297442301663,1.047297442301663,0.9205993626634958,0.8399999999999999,3.114110344827587,5.840000000000002,2.9734726917537917,-0.16982479850028656,-0.9746660410326764,18.056521796209783,17.743008215591512,0.5447469684013088,0.027194553670694687,0.02303653808486946,0.9298325710913059,0.964461053645724,0.4914049501314163,0.4914049501314163,0.39847206555745485,0.30240593212188294,2.499039634459328,3.4157883754381544,5.085499512756252,0.6872939300003865,0.3142547340164481,33.262013835123284,24.123820173804575,0.8082289446850789,0.11208787120743985,0.1210367654411689,0.21712593862531307
mass_0.00g_trial_09,0.0,data/cleaned/0.00g/mass_0.00g_trial_09.csv,full_trial,695.0,10072.0,71.42857142857143,0.681446549776728,0.8794226812254796,0.8540568867001175,0.11038848920863309,0.23197864919093594,0.23197864919093594,0.19853949588530614,0.2,0.5003884892086331,0.92,2.1570454477333194,-0.20418816186891747,-1.0462103434429,18.043896892034862,18.329826440174937,0.6576454873663975,0.026349024444878563,0.0542759382983635,0.8653574333401395,0.06310791366906475,0.15679472400862915,0.15679472400862915,0.13380148025464522,0.13,0.35310791366906474,0.6599999999999999,2.2520395115439698,-0.21847118978881733,-1.0826248099657652,18.043896892034862,17.908786340539308,0.6457566496749391,0.031050486120541107,0.06263291185847968,0.8678618043114483,11.50148201438849,1.0594790178407798,1.0594790178407798,0.9585222296982557,0.8800000000000008,2.07148201438849,3.6899999999999995,1.955189276527792,-0.3341239274549756,-1.234804741399366,18.043896892034862,18.38545896377837,0.5910645975479676,0.0097657904570152,0.021684728105432417,0.939044176089969,0.9976345351434412,0.4534531979062301,0.4534531979062301,0.36858691100066227,0.2907803238954936,1.11746365447841,2.0417688893797084,2.464341765893756,0.4271516350571003,-0.28309021936123413,32.91524048437129,24.760263052005556,0.7987335466644189,0.08556025566398232,0.14856017776927954,0.17353771120638758
mass_0.00g_trial_10,0.0,data/cleaned/0.00g/mass_0.00g_trial_10.csv,full_trial,698.0,10116.0,71.42857142857143,0.6741607545534225,0.8786558763153313,0.8386816433690357,0.10623209169054441,0.22115155249442964,0.22115155249442964,0.19057327115540926,0.19,0.4762320916905444,0.89,2.1534196179904264,-0.19061283219261674,-1.0734648397516358,17.965525406710004,17.59201178292755,0.5619864740813508,0.0408744359322826,0.05751800196714967,0.8560771504732158,0.0620916905444126,0.15349297946390425,0.15349297946390425,0.1323242830518633,0.13,0.3120916905444126,0.61,2.0332636165799673,-0.16334927994413953,-1.129558983772243,17.965525406710004,17.35645470608757,0.5375853514686908,0.029245250079295647,0.06597708779584276,0.8832056675817062,11.512163323782234,1.0013731499095262,1.0013731499095262,0.908529732925017,0.8849999999999998,1.9921633237822345,3.58,1.9894315360485009,-0.23715645071968058,-1.274885270589144,17.965525406710004,17.827229601524756,0.47607910529299396,0.014364244810110116,0.02280715022448769,0.9427941298726124,0.9479285768289047,0.42029478048895197,0.42029478048895197,0.33902484758917645,0.2596422538831728,1.0634571484708868,1.9239121919635511,2.530264942223905,0.37326868537205976,-0.39240966838256197,32.87098879359578,24.47560808390441,0.7590349664091958,0.09533716959310677,0.13868089774585193,0.19224840351392283
