trial_id,mass_g,source_file,feature_scope,window_id,window_start_ms,window_end_ms,sample_count,duration_ms,median_sample_rate_hz,axis_correlation_xy,axis_correlation_xz,axis_correlation_yz,ax_mean,ax_std,ax_rms_centered,ax_mean_abs_centered,ax_median_abs_deviation,ax_peak_abs_centered,ax_peak_to_peak,ax_crest_factor,ax_skewness,ax_excess_kurtosis,ax_dominant_frequency_hz,ax_spectral_centroid_hz,ax_spectral_entropy,ax_relative_power_0_5_hz,ax_relative_power_5_15_hz,ax_relative_power_15_30_hz,ay_mean,ay_std,ay_rms_centered,ay_mean_abs_centered,ay_median_abs_deviation,ay_peak_abs_centered,ay_peak_to_peak,ay_crest_factor,ay_skewness,ay_excess_kurtosis,ay_dominant_frequency_hz,ay_spectral_centroid_hz,ay_spectral_entropy,ay_relative_power_0_5_hz,ay_relative_power_5_15_hz,ay_relative_power_15_30_hz,az_mean,az_std,az_rms_centered,az_mean_abs_centered,az_median_abs_deviation,az_peak_abs_centered,az_peak_to_peak,az_crest_factor,az_skewness,az_excess_kurtosis,az_dominant_frequency_hz,az_spectral_centroid_hz,az_spectral_entropy,az_relative_power_0_5_hz,az_relative_power_5_15_hz,az_relative_power_15_30_hz,magnitude_mean,magnitude_std,magnitude_rms_centered,magnitude_mean_abs_centered,magnitude_median_abs_deviation,magnitude_peak_abs_centered,magnitude_peak_to_peak,magnitude_crest_factor,magnitude_skewness,magnitude_excess_kurtosis,magnitude_dominant_frequency_hz,magnitude_spectral_centroid_hz,magnitude_spectral_entropy,magnitude_relative_power_0_5_hz,magnitude_relative_power_5_15_hz,magnitude_relative_power_15_30_hz
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,2_second_window,1,0.0,2000.0,138.0,1995.0,71.42857142857143,0.16527926000223342,0.819544899697612,-0.2319098602633172,0.15557971014492752,0.4076994810331485,0.4076994810331485,0.3300892669607226,0.30000000000000004,0.8055797101449276,1.47,1.9759154662240763,-0.07977384878613945,-0.9443855989297036,27.369147506446044,19.24907162754678,0.7936756161425802,0.061395072416964534,0.3756643706465558,0.5378401514025393,0.0791304347826087,0.28395110382525207,0.28395110382525207,0.25351606805293003,0.27,0.5391304347826087,1.03,1.898673495259233,0.06509394552144475,-1.3430730106689117,27.369147506446044,20.968869978042623,0.780014306345263,0.04616416947002582,0.33036975606907865,0.5721942979655588,11.494492753623186,1.4671075123678021,1.4671075123678021,1.2540138626339004,1.2299999999999986,3.1855072463768135,5.49,2.171284121663069,0.3653892280022755,-0.8706582905481777,27.369147506446044,22.892977225565026,0.7429956588237326,0.06191531807579208,0.15272222653320985,0.7700489928522143,1.3506184860141068,0.7583411199989621,0.7583411199989621,0.606185161613902,0.5458729277970579,1.8878177825341023,3.20360892714372,2.489404481372032,0.35317040850450243,-0.2824747927346194,14.43100504885337,15.453252172521346,0.8469801327072911,0.21891007822620695,0.3846561790242385,0.34916605624921637
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,2_second_window,2,2000.0,4000.0,138.0,1983.0,71.42857142857143,0.1951050602786672,0.7829216297728308,-0.2717303326164857,0.10253623188405796,0.3835835256512181,0.3835835256512181,0.31188300777147654,0.28,0.782536231884058,1.4900000000000002,2.0400673635697184,0.013742871412389276,-0.8575991340394284,26.533505813912367,22.589029640482114,0.7107025502430115,0.04317819908775911,0.16132686725775325,0.6636005088586316,0.05782608695652174,0.2544551984438968,0.2544551984438968,0.22710144927536233,0.225,0.4821739130434783,0.91,1.8949265567855542,0.20643085489794255,-1.2968144622569682,26.533505813912367,21.84800405484258,0.6384550094849447,0.028389625100886044,0.20337293988689137,0.7458151384101728,11.437536231884058,1.5117481058839704,1.5117481058839704,1.2993530770846462,1.1600000000000001,3.252463768115941,5.51,2.151458801540297,0.45002633491553645,-0.8166181697726556,26.533505813912367,24.777953322902608,0.5542248932195997,0.02255818626730629,0.08089601286975909,0.8005036736445335,1.3847793653256812,0.761348943768964,0.761348943768964,0.5931169930905485,0.4448489464630451,1.9354820805702775,3.2478106861940037,2.5421747759823665,0.5608576789803252,-0.008259153126278562,26.03287362874421,18.041456819470746,0.850333922544394,0.06927735873164782,0.22675192722282594,0.6091491650591911
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,2_second_window,3,4000.0,6000.0,136.0,1981.0,71.42857142857143,0.140712712660203,0.7976884791070004,-0.2716763178145853,0.16720588235294118,0.38538119245081187,0.38538119245081187,0.3132525951557093,0.275,0.7972058823529412,1.48,2.0686164710923007,-0.07872957227415842,-0.8678999957132918,26.05635893933823,18.04902938458795,0.7389620765026543,0.09417959827694641,0.26214973009104686,0.5807643212327964,0.06301470588235294,0.24671762810758202,0.24671762810758202,0.21795631487889272,0.20500000000000002,0.49698529411764714,0.98,2.0143890727618987,0.09754715028043491,-1.1875816226199385,26.05635893933823,17.881192041642443,0.7184182692100559,0.05151579071411996,0.34522173795299294,0.5874906701646508,11.560735294117649,1.4817595027697452,1.4817595027697452,1.2646561418685123,1.0300000000000011,3.2192647058823507,5.649999999999999,2.172595957619852,0.4117856435159373,-0.7992433049065641,26.05635893933823,21.89973033789349,0.5754815091455774,0.09791378767325273,0.09567127017423349,0.754140453060817,1.3515914474911508,0.7603946571557817,0.7603946571557817,0.6383281952037969,0.5595465647014985,1.914323849989795,3.1120778325571288,2.5175398485179104,0.5615835354097399,-0.5309530381748053,8.017341212104071,14.523745467560232,0.7987312440513505,0.08399652391684152,0.42773971141878203,0.4655859488959782
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,2_second_window,4,6000.0,8000.0,139.0,1997.0,71.42857142857143,0.2614939516018117,0.8118410292337979,-0.1836498456330034,0.21899280575539568,0.4342632808222968,0.4342632808222968,0.35550333833652503,0.36000000000000004,0.9889928057553957,1.73,2.2774037074529856,-0.39973979665453746,-0.7390648168354601,26.84602443232794,22.20391244109289,0.5381725855025599,0.04361621743269579,0.17123286816836347,0.6965178465868316,0.06820143884892087,0.29021265286479464,0.29021265286479464,0.2627151803736867,0.27,0.5417985611510792,0.98,1.8669019279579595,0.09138431981275047,-1.4263870927155027,26.84602443232794,21.86761866780489,0.44709136268240773,0.02973442522480636,0.2107545711233175,0.7413359372167165,11.733165467625899,1.5463096174609143,1.5463096174609143,1.3759867501682108,1.2799999999999994,3.066834532374102,5.870000000000001,1.9833250066761754,0.2432164704212075,-1.0875474162599819,26.84602443232794,24.6157004452721,0.38291163671508255,0.028308248677235644,0.08647456524325223,0.8086667294271009,1.4758594885948049,0.6969362839816621,0.6969362839816621,0.5831738189216354,0.5212407253800604,1.6409039399393146,2.876230694656885,2.354453308937622,0.4614673610700832,-0.7470360350032461,26.84602443232794,18.137991473012534,0.7516865735865852,0.18516467766758235,0.151408863209833,0.5407141767495123
mass_0.00g_trial_01,0.0,data/cleaned/0.00g/mass_0.00g_trial_01.csv,2_second_window,5,8000.0,10000.0,138.0,1982.0,71.42857142857143,0.2288697409914793,0.8028738122761883,-0.21076082640159002,0.14855072463768115,0.4005024936589174,0.4005024936589174,0.32755723587481617,0.26,0.8185507246376812,1.59,2.043809308550246,0.0077919030450608875,-0.7702351732869293,26.54689305196307,21.59103460469133,0.5454923218322817,0.01780622606648086,0.22820440762200916,0.6745093976841123,0.05210144927536232,0.26788612359599906,0.26788612359599906,0.23014072673808023,0.22,0.5678985507246377,1.12,2.119925224574489,0.19185402651545727,-1.0920652149273007,26.54689305196307,21.659663503095686,0.4795403706890475,0.019840377400325186,0.20718042199332826,0.750266035573076,11.489999999999998,1.5730543537970962,1.5730543537970962,1.3792753623188407,1.3450000000000006,3.150000000000002,5.75,2.002473717704933,0.2857218269604573,-1.1214597849544339,26.54689305196307,24.03223712098245,0.30425422074727587,0.019714866418285838,0.11051546498778553,0.8294684081050802,1.4667863272735828,0.7451195157594357,0.7451195157594357,0.6341549247644241,0.5630522987992546,1.7427744572468824,3.0576049539013415,2.3389193550656415,0.2613491084684208,-0.8656264395481554,16.02831278609091,18.42191622506279,0.7383350199502685,0.062452115252188245,0.22246152228852997,0.5688322032220794
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,2_second_window,1,0.0,2000.0,139.0,1997.0,71.42857142857143,0.2246313537581352,0.6147602825873683,0.8088826433549056,0.055251798561151075,0.2109428335913021,0.2109428335913021,0.1880233942342529,0.19,0.40474820143884893,0.75,1.9187577721793632,0.10224202657943943,-1.3033283723417401,28.337470234127416,24.338401983502003,0.501938723610248,0.043475298565195095,0.11139334335077651,0.8231168637036567,0.029712230215827338,0.18204253770444714,0.18204253770444714,0.1635826302986388,0.16,0.48028776978417265,0.8300000000000001,2.6383271505692685,0.1917441809619246,-1.1443682590217614,28.337470234127416,24.325804085511372,0.528514120746247,0.024018982185051413,0.1569167123781305,0.7836125905880789,11.444460431654676,1.0356843027935931,1.0356843027935931,0.90455669996377,0.8399999999999999,2.0955395683453233,3.67,2.0233381569006497,0.262655438336301,-1.0628583988513718,28.337470234127416,26.64122319705567,0.32748154688364167,0.017848995002338126,0.04322119146175123,0.9245557986253401,0.9693226480062216,0.4590119210790291,0.4590119210790291,0.37973027842370205,0.3370646559712266,1.1601191520423275,1.9104002187759959,2.5274270640186427,0.5900327647532467,-0.31574340147843705,12.428715014968166,15.041195658379632,0.6996057205791121,0.07501067023881858,0.6499584401009099,0.22496841011628885
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,2_second_window,2,2000.0,4000.0,138.0,1984.0,71.42857142857143,0.17112249195503426,0.6101233986872167,0.8298054757118977,0.07094202898550724,0.20848621989411745,0.20848621989411745,0.18663516068052932,0.18,0.39094202898550723,0.76,1.8751456531949806,0.05277950857764161,-1.2506446502340673,27.0205119214587,24.612886946002128,0.37981406490146985,0.043302398950364814,0.08336239261378697,0.8286539008808793,0.022246376811594203,0.17191596411839294,0.17191596411839294,0.15594938038227263,0.17,0.2977536231884058,0.55,1.7319719242789609,0.13696282638020582,-1.4456192014764968,27.0205119214587,24.77403155206574,0.35389719842427975,0.02494547394058407,0.10027059583996212,0.8418942448891487,11.46782608695652,1.0550339915744145,1.0550339915744145,0.9065721487082545,0.8900000000000006,2.0721739130434784,3.67,1.9640826073776052,0.2520198764334832,-1.0377848669471401,27.0205119214587,25.836266720985915,0.2210466204178149,0.020142999887923615,0.03826288166606838,0.9314813928528538,0.9708405943620747,0.4935452019021463,0.4935452019021463,0.42115474925075225,0.41876222834098653,1.132102944844465,1.8946469450924917,2.2938181558270396,0.4624438271587941,-0.7842089584094136,15.0113955119215,15.791765713004146,0.5404414920479877,0.06894412157809196,0.10942959505048559,0.7624053040152399
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,2_second_window,3,4000.0,6000.0,138.0,1982.0,71.42857142857143,0.29444203185876805,0.7025168021979646,0.8164415425562733,0.05507246376811594,0.2034743382916018,0.2034743382916018,0.18021844150388572,0.16499999999999998,0.4449275362318841,0.8300000000000001,2.186651840067677,0.19293799423480495,-1.064047825225505,26.046008277397732,24.05847295940044,0.5559402491061533,0.030939678922091624,0.08087629841645265,0.8421134356998836,0.029492753623188407,0.16078756560081955,0.16078756560081955,0.1423913043478261,0.145,0.28949275362318844,0.5700000000000001,1.800467296966855,0.04976338350673934,-1.3075670250244096,26.54689305196307,23.93657348397896,0.5631092933378878,0.026387747330353893,0.10578663427680463,0.8061976268564207,11.461304347826088,1.0307151211637429,1.0307151211637429,0.898840579710145,0.8399999999999999,2.1686956521739127,4.010000000000002,2.1040689203485416,0.13223177841340264,-1.0178479799346547,26.046008277397732,24.186018306745407,0.49180353876114674,0.020737567439418018,0.08037326529015197,0.8888678604004829,0.9505165086281199,0.4755486046830982,0.4755486046830982,0.39782938526398626,0.3548582146129678,1.2450967413736374,1.9849892458628349,2.618232351251162,0.5999853567543203,-0.5380889709263061,16.529197560656254,17.77011316428667,0.7001472313249835,0.031988938761618686,0.13945529933584414,0.7277369177500155
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,2_second_window,4,6000.0,8000.0,138.0,1982.0,71.42857142857143,0.3552354017197336,0.7547612652530676,0.8168719955520894,0.05507246376811594,0.19696702577273165,0.19696702577273165,0.17579920184835118,0.16999999999999998,0.38507246376811594,0.75,1.9550097903820094,0.000722946138963886,-1.1882995261592244,25.04423872826705,23.404811120899573,0.3572076338743754,0.011894630059980232,0.10023445266034005,0.8441282458883438,0.033985507246376806,0.16397481184741416,0.16397481184741416,0.1452320940978786,0.14500000000000002,0.31601449275362314,0.58,1.9272136323454887,0.13464410879566466,-1.2791949612758122,25.04423872826705,23.14457039345218,0.36136148671461316,0.007810342293947316,0.11439981506549915,0.8390162226731342,11.459492753623188,0.9761083053947105,0.9761083053947105,0.8616666666666667,0.7800000000000011,1.960507246376812,3.7200000000000006,2.0084935611566572,-0.05603010935014639,-1.1088257613611172,25.04423872826705,24.098506347933565,0.2160522467227644,0.0031737638248997458,0.05024796991456386,0.9392367473142009,0.9101586555366273,0.43598439625110813,0.43598439625110813,0.3651033551335736,0.27196291743564055,1.075315730629622,1.8177405938679623,2.4664087519551656,0.5688112175848675,-0.729768402084574,19.033621433482956,18.55714500856196,0.5867804740708791,0.016075508872850093,0.17696089169884502,0.7271293182137565
mass_0.00g_trial_02,0.0,data/cleaned/0.00g/mass_0.00g_trial_02.csv,2_second_window,5,8000.0,10000.0,139.0,1996.0,71.42857142857143,0.31479942998966126,0.6965506015105286,0.8509564811527016,0.06798561151079136,0.2055390521318145,0.2055390521318145,0.18260442006107347,0.19,0.47798561151079133,0.8799999999999999,2.32552211637258,-0.004802067877391005,-1.2037789769277953,24.86988365219716,23.12331555325416,0.47056843292527545,0.0403042120288917,0.06764342785110135,0.8694430859712907,0.036690647482014394,0.15828391070273237,0.15828391070273237,0.1399285751255111,0.14,0.30330935251798563,0.5800000000000001,1.9162361554714213,0.17467661522436834,-1.3218132882343532,24.86988365219716,22.702143489900276,0.47141187855497463,0.03085185034152848,0.08669440942435254,0.8696378549495153,11.506546762589927,1.030734677029916,1.030734677029916,0.8686631126753273,0.7900000000000009,1.9934532374100726,3.7799999999999994,1.934012003122133,0.09339929040239034,-0.9587145159284152,24.86988365219716,23.653237441319416,0.3971162173327622,0.016574604476242982,0.052137721015823514,0.9188420110166773,0.9279900223646503,0.5182167414916429,0.5182167414916429,0.4443576509527547,0.43540920934301974,1.0947868350764334,1.8752981945558456,2.1126041430564024,0.4207777602100575,-1.058745034202609,18.90111157566984,19.629423475854804,0.6310470603426457,0.014147943592836021,0.0962266623682966,0.8256649860775593
