time,ax,ay,az
2261376,0.58678,0.31009,13.30163
2261391,-0.48118,0.10824,9.536
2261408,0.58097,-0.25353,13.80488
2261424,0.7057,0.42489,13.25158
2261439,-0.5241,-0.61791,8.79048
2261454,0.4091,0.16252,13.43096
2261469,0.09748,0.26828,11.68976
2261484,-0.58294,-0.75855,9.59575
2261501,0.92602,0.28764,12.54773
2261518,-0.32506,0.05918,9.20228
2261533,-0.01321,-0.12089,12.20245
2261549,-0.06944,0.42795,13.37144
2261564,-0.7317,-0.41424,10.01808
2261579,0.41942,0.56572,15.01505
2261594,0.14611,0.49032,11.86706
2261609,-0.83717,-0.58407,8.61182
2261623,0.88226,0.42699,12.80464
2261638,-0.46967,0.18488,10.25733
2261654,-0.42589,-0.08152,9.7906
2261670,0.85782,0.42751,12.75559
2261685,-0.57443,-0.39283,8.73929
2261703,0.30064,0.52847,11.8811
2261719,0.04228,0.2094,12.45766
2261735,-0.6022,-0.16233,9.1165
2261749,0.59536,0.74726,13.61883
2261763,-0.23495,0.08055,10.97902
2261779,-0.4347,0.1366,8.58751
2261793,0.39241,0.33164,13.22768
2261809,-0.61535,-0.49937,10.09443
2261825,-0.19195,0.39528,11.32578
2261838,0.26829,0.37808,13.73154
2261853,-0.90941,-0.93401,9.67039
2261869,0.35931,0.32611,11.74114
2261885,0.18304,0.14036,12.53244
2261899,-0.51683,-0.44516,8.16909
2261917,0.96679,0.33596,12.88632
2261933,-0.31289,-0.62573,10.31129
2261948,-0.2033,0.25519,10.08156
2261963,0.26612,0.2793,13.13521
2261977,-0.60367,-0.87956,9.816
2261992,0.23615,0.33806,10.59982
2262009,0.06584,0.04689,11.94498
2262023,-0.89798,-0.44601,8.6926
2262038,0.43795,0.07726,12.64335
2262052,-0.32468,-0.33406,13.47458
2262067,-0.3708,0.07043,9.18996
2262085,0.96935,0.42058,14.06096
2262098,-0.18879,-0.75547,12.46551
2262112,-0.42742,0.26798,9.79299
2262127,0.97206,0.55614,14.11529
2262143,-0.04075,-0.42389,10.56934
2262160,0.55499,0.7247,11.59234
2262177,0.1108,-0.29645,13.24434
2262192,-0.42993,0.32718,9.376
2262205,0.54944,0.67014,11.67578
2262221,0.03474,-0.39692,13.82165
2262236,-0.43191,0.49348,10.32006
2262251,0.76246,0.80429,14.24994
2262265,-0.21416,-0.53625,12.89056
2262280,-0.12397,0.4302,9.47823
2262296,0.49036,0.07297,12.20669
2262313,-0.37364,-0.27397,9.88881
2262328,0.55563,0.49085,9.69996
2262345,0.09166,-0.7022,12.57383
2262361,-0.29042,0.63909,8.57467
2262376,0.50591,0.32231,12.62432
2262392,-0.36995,-0.43723,12.7951
2262407,0.08361,0.36169,10.36425
2262422,0.13411,-0.16451,13.52236
2262437,-0.67737,0.03869,10.89719
2262451,0.85601,0.56636,9.02558
2262465,0.35078,-0.37342,12.88608
2262482,-0.3812,0.37843,9.51364
2262496,0.95603,0.37809,11.25889
2262510,0.21573,-0.95323,13.36756
2262525,-0.42348,0.29974,10.0771
2262540,1.0412,0.27561,11.34723
2262556,-0.03659,-0.67145,12.59468
2262571,-0.31978,0.44051,8.80798
2262587,0.54874,-0.3143,13.46766
2262601,-0.14916,-0.147,12.02618
2262615,0.64067,0.41518,9.76526
2262629,0.65546,-0.12214,12.74399
2262644,-0.27507,0.1689,12.36094
2262659,0.64387,0.46273,9.44648
2262673,0.14596,-0.63974,13.8758
2262687,-0.51154,0.04899,11.9313
2262703,0.71856,0.51969,9.59357
2262717,0.08769,-0.61326,13.32581
2262732,-0.86939,0.5233,10.39969
2262749,0.81939,0.04457,11.24562
2262764,-0.14693,-0.33354,12.5615
2262778,-0.23354,0.37112,8.74518
2262795,0.5141,-0.53959,12.28998
2262811,-0.41116,0.55224,12.66737
2262825,0.55647,0.56039,8.96787
2262839,0.34222,-0.75643,13.64014
2262853,-0.59487,0.5051,12.7846
2262868,0.49659,0.56893,8.91681
2262881,0.33695,-0.77373,12.56536
2262896,-0.2794,0.46295,12.09642
2262910,0.67706,0.05966,10.03257
2262924,0.1274,-0.92837,14.11851
2262938,-0.46336,0.22442,13.53902
2262954,1.03904,0.13006,10.2287
2262968,-0.29905,-0.63022,13.78489
2262984,-0.52853,0.44257,10.93026
2262999,0.81318,-0.38312,10.958
2263014,-0.42433,0.27547,12.93737
