model,window_macro_f1_mean,window_macro_f1_std,window_balanced_accuracy_mean,window_balanced_accuracy_std,window_accuracy_mean,window_accuracy_std,window_recall_0.00g_mean,window_recall_0.00g_std,window_recall_0.25g_mean,window_recall_0.25g_std,window_recall_0.50g_mean,window_recall_0.50g_std,window_recall_0.75g_mean,window_recall_0.75g_std,window_recall_1.00g_mean,window_recall_1.00g_std,trial_macro_f1_mean,trial_macro_f1_std,trial_balanced_accuracy_mean,trial_balanced_accuracy_std,trial_accuracy_mean,trial_accuracy_std,trial_recall_0.00g_mean,trial_recall_0.00g_std,trial_recall_0.25g_mean,trial_recall_0.25g_std,trial_recall_0.50g_mean,trial_recall_0.50g_std,trial_recall_0.75g_mean,trial_recall_0.75g_std,trial_recall_1.00g_mean,trial_recall_1.00g_std
random_forest,0.5749700495582848,0.12205230400827628,0.6359999999999999,0.11199999999999997,0.5792857142857143,0.10420740699906789,1.0,0.0,0.7,0.18973665961010275,0.5,0.2966479394838265,0.4,0.3794733192202055,0.58,0.44,0.6186666666666667,0.15716375041479647,0.7,0.1264911064067352,0.6281746031746032,0.13994271404726866,1.0,0.0,0.8,0.2449489742783178,0.6,0.37416573867739417,0.5,0.4472135954999579,0.6,0.48989794855663565
svm_rbf,0.48089768654284776,0.13175193904450416,0.5399999999999999,0.12585706178041814,0.49738095238095237,0.12725605804200452,0.96,0.07999999999999999,0.78,0.2712931993250107,0.42000000000000004,0.38157568056677826,0.38,0.38157568056677826,0.16,0.32,0.5215238095238095,0.12845017209804796,0.6,0.08944271909999157,0.5496031746031746,0.12166436283139598,1.0,0.0,0.8,0.2449489742783178,0.5,0.4472135954999579,0.5,0.4472135954999579,0.2,0.4
logistic_regression,0.5086171895737113,0.16673750156591788,0.5640000000000001,0.18693314312876674,0.513888888888889,0.17462481828335233,0.9199999999999999,0.16,0.76,0.29393876913398137,0.45999999999999996,0.40792156108742283,0.3,0.3794733192202055,0.38,0.34292856398964494,0.49409523809523803,0.18051013627232168,0.5599999999999999,0.19595917942265423,0.5087301587301587,0.18742009299230336,0.9,0.20000000000000004,0.8,0.2449489742783178,0.5,0.4472135954999579,0.3,0.39999999999999997,0.3,0.39999999999999997
gradient_boosting,0.5076941056879137,0.1059300863578002,0.592,0.11356055653262709,0.5185714285714285,0.12558841100830853,1.0,0.0,0.74,0.332264954516723,0.42000000000000004,0.4749736834815167,0.36,0.3878143885933063,0.43999999999999995,0.32619012860600183,0.4720000000000001,0.07271252375699189,0.5800000000000001,0.0748331477354788,0.5031746031746032,0.08875592379422564,1.0,0.0,0.7,0.4,0.4,0.48989794855663565,0.4,0.48989794855663565,0.4,0.37416573867739417
