mass_g,feature,mean,std,median,iqr,window_count,trial_count
0.0,magnitude_mean,0.955391378151425,0.036763906652178505,0.9658403844337287,0.028864452209883096,40,8
0.0,ay_std,0.15314435186923006,0.007980723926078001,0.1526785318068069,0.007188093282695429,40,8
0.0,az_peak_abs_centered,2.00605168499285,0.09873914515740856,2.020434782608696,0.09358513189448336,40,8
0.0,ax_std,0.20985718352014748,0.011708143140382833,0.2056892739746587,0.015888845107165372,40,8
0.0,ay_median_abs_deviation,0.13337500000000002,0.010339586610791138,0.13,0.010000000000000009,40,8
0.0,magnitude_std,0.46665124720264445,0.03503042879936528,0.47314289743718135,0.031203114339814153,40,8
0.0,magnitude_spectral_entropy,0.6466655691251629,0.07953719105262136,0.6663276969254391,0.11558939369894028,40,8
0.0,magnitude_spectral_centroid_hz,23.20085962229364,2.6869694209427424,23.802782889662602,2.2410666862388737,40,8
0.0,az_median_abs_deviation,0.8353749999999998,0.051395743363603766,0.8324999999999996,0.06625000000000036,40,8
0.0,ax_peak_to_peak,0.7790000000000001,0.06327797850834496,0.765,0.08000000000000007,40,8
0.0,ay_peak_to_peak,0.58325,0.048589726676135335,0.5700000000000001,0.030000000000000027,40,8
0.0,axis_correlation_xz,0.7836710841200208,0.07081342776215409,0.7747060163129178,0.08762236698259251,40,8
0.0,axis_correlation_yz,0.843232887131349,0.022171398090977176,0.8503461946681201,0.03479656704891365,40,8
0.0,magnitude_peak_abs_centered,1.0795943315302465,0.09204051769864072,1.0844674464621398,0.07476710615639304,40,8
0.0,az_relative_power_15_30_hz,0.9290110344090217,0.012722404223017967,0.9302855245694218,0.013880533021107477,40,8
0.25,magnitude_mean,1.3311170227987037,0.13865135091468697,1.3279432018004584,0.131347104814741,40,8
0.25,ay_std,0.29214826375816866,0.05301122813127182,0.2799962795416304,0.07723794509357151,40,8
0.25,az_peak_abs_centered,3.204550678259276,0.43338608548011015,3.092822952993169,0.7325963660876273,40,8
0.25,ax_std,0.34505553968274355,0.08114474154815607,0.3330392613730604,0.07173059556882633,40,8
0.25,ay_median_abs_deviation,0.22099987499999996,0.04039021464521497,0.213565,0.060711249999999994,40,8
0.25,magnitude_std,0.6812521763545979,0.08906973100133189,0.6580412393021863,0.14360603049678522,40,8
0.25,magnitude_spectral_entropy,0.828288346325268,0.039780611613926785,0.8303894859191516,0.04319649777035239,40,8
0.25,magnitude_spectral_centroid_hz,16.33069891034318,1.835190090906543,16.25155463022562,2.240962067556289,40,8
0.25,az_median_abs_deviation,1.059501375,0.1855253591104486,1.0370000000000004,0.27145500000000033,40,8
0.25,ax_peak_to_peak,1.3152504999999999,0.2678953178154405,1.2503250000000001,0.21892250000000035,40,8
0.25,ay_peak_to_peak,1.13076875,0.2153608776721779,1.05514,0.3156025,40,8
0.25,axis_correlation_xz,-0.027422318456844043,0.2775649167156475,-0.012889375222260649,0.3022411890732011,40,8
0.25,axis_correlation_yz,0.02957589107092985,0.3903459715113143,0.0630213562924512,0.47964309373124947,40,8
0.25,magnitude_peak_abs_centered,1.909747811053912,0.3379281974748985,1.8526143141822276,0.58082830252865,40,8
0.25,az_relative_power_15_30_hz,0.7808311769041808,0.08480844847981696,0.8033572751006612,0.08692103266653062,40,8
0.5,magnitude_mean,1.4838407225774308,0.1658402072581606,1.4777429691139858,0.24101951794712884,40,8
0.5,ay_std,0.33624188677446154,0.0578311459798516,0.3428889876233062,0.06964766187789423,40,8
0.5,az_peak_abs_centered,3.3695216388033202,0.587262976410475,3.191188496240601,0.5758559841364765,40,8
0.5,ax_std,0.4372207864311218,0.10129982951097552,0.39855700240925646,0.178441722151796,40,8
0.5,ay_median_abs_deviation,0.26252224999999996,0.04377572642795174,0.2701,0.06486000000000006,40,8
0.5,magnitude_std,0.7057913368656169,0.11481060428591884,0.6763052198060627,0.12610379570725538,40,8
0.5,magnitude_spectral_entropy,0.8081748263827695,0.05935502807315831,0.8163769533803159,0.06264503163762025,40,8
0.5,magnitude_spectral_centroid_hz,16.631635791273215,2.6789398259042465,16.851807483437128,3.196844321031678,40,8
0.5,az_median_abs_deviation,1.2478626249999998,0.1806162840040176,1.2518500000000001,0.2423099999999998,40,8
0.5,ax_peak_to_peak,1.8159534999999998,0.7084275093818523,1.57922,0.7981949999999998,40,8
0.5,ay_peak_to_peak,1.3900587500000001,0.4121233856080775,1.31887,0.3359374999999998,40,8
0.5,axis_correlation_xz,-0.03980022045394533,0.348097247776553,0.017199368663242648,0.3789861974607866,40,8
0.5,axis_correlation_yz,0.11446051818135088,0.3479521618398163,0.0668433348303869,0.43352911475315703,40,8
0.5,magnitude_peak_abs_centered,1.9824311688558325,0.6851729682442683,1.848163805142018,0.5049708996320403,40,8
0.5,az_relative_power_15_30_hz,0.8301715326011404,0.09710316482842488,0.855561178315166,0.09210385650719588,40,8
0.75,magnitude_mean,1.7001331822588637,0.14735890234917126,1.7053374785747875,0.26541082037846575,40,8
0.75,ay_std,0.42765625788317313,0.06432929268298151,0.4394840043604924,0.08905595760980822,40,8
0.75,az_peak_abs_centered,3.7886192437899795,0.4223775873476727,3.888286286169971,0.6673537462975614,40,8
0.75,ax_std,0.5140366323246083,0.11370780226616885,0.505579007114507,0.16404534380692992,40,8
0.75,ay_median_abs_deviation,0.332036125,0.06357884775138843,0.3085075,0.09746374999999996,40,8
0.75,magnitude_std,0.7968483552105473,0.11989500477758912,0.7661921117896435,0.1251841845716296,40,8
0.75,magnitude_spectral_entropy,0.8314295199029209,0.04315766602935884,0.8385518015905375,0.040879026040189115,40,8
0.75,magnitude_spectral_centroid_hz,15.486616213624078,1.6486069652225264,15.456562633198347,1.795677645944755,40,8
0.75,az_median_abs_deviation,1.261626125,0.22890300421034757,1.2169599999999994,0.34713750000000054,40,8
0.75,ax_peak_to_peak,2.09680025,0.4546504645328495,2.13408,0.5502849999999997,40,8
0.75,ay_peak_to_peak,1.6887972499999997,0.289840868169888,1.644435,0.4534325000000001,40,8
