feature,eta_squared_development,missing_values,unique_values,standard_deviation,max_absolute_correlation,redundant_with_selected,recommended,reason
ax_crest_factor,0.07150508287100645,0,200,0.4530642048626256,0.9242957627659161,,False,below_feature_limit
az_mean,0.046926574774954086,0,199,0.09301675097554903,0.17574879037623695,,False,below_feature_limit
ay_mean,0.04365823572347801,0,200,0.03686037039553712,0.5836691306278828,,False,below_feature_limit
ay_crest_factor,0.03962589711244223,0,200,0.5283063711331162,0.9442812474055693,,False,below_feature_limit
az_spectral_centroid_hz,0.036715675585945726,0,200,2.093126908960663,0.8067305720026772,,False,below_feature_limit
magnitude_skewness,0.03416331095307886,0,200,0.24149966950095036,0.8063763393650808,,False,below_feature_limit
ax_excess_kurtosis,0.03371605509828324,0,200,1.046703131978913,0.9242957627659161,,False,below_feature_limit
ay_skewness,0.022399730728130812,0,200,0.40095750103881805,0.3303801827720702,,False,below_feature_limit
ay_excess_kurtosis,0.02118590464996103,0,200,1.9316125402071875,0.9442812474055693,,False,below_feature_limit
magnitude_excess_kurtosis,0.018984324959493266,0,200,0.9570962204067277,0.8960080559014498,,False,below_feature_limit
