time,ax,ay,az
1614036,-0.3783,-0.38067,10.47325
1614050,-0.29881,0.01989,10.95709
1614066,0.63854,0.97542,13.64266
1614081,-0.1037,0.11828,11.82562
1614095,-0.41811,-0.21045,10.05969
1614111,0.05223,-0.0917,10.09674
1614126,0.70512,0.76395,14.37459
1614140,-0.07669,-0.29348,11.06351
1614156,-0.16439,-0.23685,9.48128
1614171,0.38924,0.19413,11.43529
1614185,0.34631,0.64542,13.30673
1614201,-0.37373,-0.32462,9.90943
1614215,-0.33244,-0.36351,10.30219
1614228,0.47098,0.16067,11.82148
1614246,0.39038,0.2085,12.36761
1614260,-0.24263,-0.2762,9.75229
1614276,-0.06799,-0.10831,10.53882
1614294,0.56818,0.74328,13.54135
1614311,-0.35735,-0.31295,10.44929
1614326,-0.33881,-0.30281,9.92298
1614341,0.41019,0.20213,12.36103
1614355,0.45965,0.49563,12.23052
1614369,-0.41338,-0.29515,9.70505
1614383,-0.38377,-0.48161,10.48624
1614397,0.34325,0.05452,13.22967
1614415,0.41062,0.08136,11.70835
1614431,-0.54268,-0.5363,9.9874
1614445,-0.24122,-0.40327,10.59374
1614460,0.69544,0.42456,13.83507
1614474,0.20987,0.02581,10.84563
1614489,-0.44925,-0.44104,9.87702
1614504,0.07725,-0.16608,11.47525
1614518,0.69371,0.87752,13.105
1614534,-0.04294,-0.12131,10.34703
1614549,-0.41665,-0.45689,9.95161
1614562,-0.18924,-0.03475,12.89206
1614577,0.54756,0.82001,12.92807
1614591,0.08316,-0.21173,10.78864
1614605,-0.35629,-0.61975,9.99313
1614619,-0.11538,-0.11871,12.941
1614635,0.48602,0.72703,12.07737
1614649,-0.29176,-0.18937,9.92526
1614663,-0.26367,-0.3677,10.30651
1614678,0.38602,0.18216,13.33592
1614694,0.57622,0.78141,10.21504
1614708,-0.14395,-0.49488,10.16228
1614723,-0.17872,-0.41212,10.69513
1614739,0.59269,0.00175,13.60606
1614756,0.13372,0.03121,10.99788
1614772,-0.41294,-0.53581,10.25825
1614787,-0.14287,-0.22985,13.60068
1614803,0.50941,0.59606,11.60305
1614819,-0.18561,-0.20387,10.35938
1614834,-0.18609,-0.28483,10.92675
1614850,0.4322,0.23775,13.31755
1614865,0.50328,0.78914,9.92931
1614880,-0.33541,-0.29728,10.45691
1614894,-0.30684,-0.38885,12.66686
1614908,0.51918,0.24262,12.33672
1614923,0.40342,0.45208,10.45663
1614939,-0.33664,-0.54828,10.80945
1614954,-0.21093,-0.10058,13.47526
1614970,0.55925,0.67046,11.13572
1614986,-0.17287,0.02373,10.235
1615003,-0.40263,-0.30199,11.95427
1615018,0.22721,0.13566,12.82994
1615034,0.41243,0.81913,10.34939
1615049,-0.35707,-0.33377,10.06769
1615064,-0.47377,-0.33091,13.08498
1615080,0.43075,0.27539,11.00253
1615095,0.19072,0.19665,9.70229
1615109,-0.4553,-0.43081,11.33304
1615125,-0.38068,-0.25786,12.96721
1615140,0.70024,0.42837,11.67503
1615154,0.22929,-0.0324,10.92075
1615169,-0.45102,-0.4305,11.82183
1615185,0.08501,-0.12691,12.96801
1615199,0.6224,0.58344,10.30747
1615214,-0.09255,-0.03522,10.15303
1615229,-0.27414,-0.26918,13.19481
1615245,0.22103,-0.08812,12.16497
1615260,0.39232,0.96738,10.16795
1615274,-0.26542,-0.27921,10.68305
1615288,-0.13243,-0.35014,13.25074
1615304,0.50959,0.42617,11.36889
1615318,0.40669,0.67198,10.04683
1615331,-0.25759,-0.31967,10.40032
1615347,-0.28634,-0.29352,12.81828
1615362,0.71701,0.08381,10.38913
1615378,0.36251,0.05481,9.90946
1615394,-0.46266,-0.48443,12.18262
1615412,0.04724,-0.29943,12.02135
1615427,0.39336,0.60269,10.65168
1615441,-0.09783,-0.30245,10.48703
1615456,-0.32681,-0.62653,14.27049
1615473,0.58585,-0.08886,10.99334
1615488,0.36847,0.45924,10.03544
1615502,-0.36136,-0.31364,12.20526
1615519,-0.1738,-0.28627,13.36237
1615533,0.65189,0.2056,10.04756
1615548,0.20338,0.3742,9.97306
1615565,-0.46189,-0.16795,12.80299
1615580,0.01946,-0.07057,11.62494
1615596,0.57638,0.69412,9.89654
1615610,-0.04967,-0.08814,11.46707
1615624,-0.29361,-0.42938,13.44984
1615638,0.15652,-0.30137,10.30479
1615651,0.77299,0.59882,8.82954
1615666,-0.05942,0.00538,10.94471
1615680,-0.33796,-0.42245,13.48178
1615695,0.19762,-0.25263,9.97628
1615709,0.73878,0.64114,9.64881
1615723,0.00861,0.01192,11.86097
1615739,-0.21215,-0.37752,13.11939
1615754,0.30409,-0.07321,10.47954
1615769,0.47681,0.78493,9.83455
1615785,-0.39778,-0.14817,13.31581
1615802,-0.18234,-0.27757,11.63906
1615814,0.70362,0.1597,10.34306
1615830,0.18894,0.40808,10.88185
1615844,-0.40128,-0.3779,14.47024
1615857,-0.12466,-0.35321,11.15868
1615872,0.62773,0.03974,10.47673
1615887,0.17077,0.34779,11.28882
1615902,-0.40561,-0.4039,13.76764
1615919,-0.14498,-0.33793,11.42825
1615935,0.66822,0.48025,10.26881
1615950,-0.09922,-0.22496,12.13642
1615965,-0.18705,-0.49947,11.89987
1615980,0.47503,-0.13981,10.85367
1615995,0.53775,0.58394,10.50636
1616011,-0.35152,-0.24882,13.2485
1616026,-0.19267,-0.23903,11.12066
1616040,0.58803,-0.02143,10.07121
1616057,0.4633,0.23594,11.07431
1616073,-0.27676,-0.56808,12.36093
1616089,0.03813,-0.28167,10.49649
1616103,0.7114,0.39223,10.40957
1616119,-0.18615,-0.23317,12.44151
1616134,-0.42766,-0.19532,11.51354
1616150,0.23146,-0.21644,10.21501
1616166,0.38615,0.48199,11.22509
1616180,-0.29451,-0.28552,12.76214
1616195,-0.22154,-0.59808,10.56615
1616209,0.42334,-0.02506,10.65376
1616224,0.38898,0.73974,11.85494
1616238,-0.32175,-0.11997,13.31338
1616253,-0.12549,-0.3666,11.44471
1616267,0.76184,0.05419,9.98155
1616281,0.475,0.73093,12.18455
1616294,-0.3672,-0.14057,13.27855
1616309,-0.107,-0.25248,10.83348
1616323,0.43472,-0.10403,10.94341
1616339,0.221,0.37239,12.64825
1616354,-0.52284,-0.21013,11.98279
1616367,-0.36176,-0.16864,10.76706
1616381,0.63748,0.02515,10.27031
1616399,0.22938,0.08106,13.32811
1616413,-0.38329,-0.38876,11.28052
1616429,-0.07756,-0.16331,10.59796
1616444,0.60392,0.52219,11.72845
1616458,-0.04277,0.0578,14.34487
1616473,-0.25995,-0.35167,11.31935
1616487,0.08434,-0.247,9.30812
1616500,0.75935,0.60225,11.75285
1616516,-0.05133,-0.2022,13.10761
1616531,-0.22818,-0.60501,9.91908
1616545,0.13303,-0.1575,10.52686
1616560,0.50842,0.59012,13.61414
1616577,-0.26646,-0.23633,12.03778
1616591,-0.40925,-0.30424,10.39154
1616605,0.31659,0.09376,10.32951
1616619,0.47415,0.64176,13.35691
1616633,-0.34708,-0.08038,11.2822
1616647,-0.23768,-0.39815,9.92824
1616661,0.41956,-0.15074,10.75908
1616675,0.50957,0.7868,13.685
1616689,-0.28046,-0.17538,11.98606
1616705,-0.29643,-0.34057,9.89003
1616719,0.62994,-0.02779,10.65541
1616733,0.56103,0.88621,13.91207
1616747,-0.21427,-0.32303,10.97294
1616762,-0.17005,-0.25976,10.13202
1616776,0.52884,0.07036,11.95531
1616792,0.28407,0.59198,14.03454
1616806,-0.44677,-0.17194,10.64614
1616821,-0.31354,-0.36855,9.82574
1616835,0.71695,0.11668,12.45829
1616850,0.34302,0.42374,12.7798
1616867,-0.2402,-0.2963,10.40517
1616883,-0.03066,-0.27523,11.16412
1616899,0.61363,0.62584,13.28992
1616913,-0.00763,-0.19122,11.04852
1616929,-0.13606,-0.3848,9.08713
1616944,0.45658,-0.20285,11.4424
1616961,0.41918,0.61921,12.52609
1616977,-0.23322,-0.13697,9.672
1616993,-0.18932,-0.30075,10.38115
1617008,0.4842,0.34574,13.86571
1617023,-0.11671,0.25203,11.71982
1617038,-0.42576,-0.42335,10.64965
1617055,0.19548,-0.30821,11.55791
1617069,0.5955,0.41967,13.7386
1617085,-0.28974,-0.20274,10.81003
1617101,-0.08663,-0.53496,10.21381
1617118,0.73947,0.05143,13.18228
1617132,0.27333,0.5889,12.11425
1617147,-0.44067,-0.39959,11.20825
1617163,-0.04972,-0.25071,10.55248
1617177,0.60896,0.27603,13.93421
1617195,0.06373,0.23397,10.90365
1617209,-0.26628,-0.41258,10.63631
1617224,0.13705,-0.33762,11.18368
1617240,0.27612,0.7736,13.02286
1617254,-0.37792,-0.03844,10.56905
