time,ax,ay,az
3631,0.22,0.02,12.16
3646,-0.17,-0.23,9.55
3660,-0.07,0.06,11.82
3675,0.3,0.11,12.14
3689,-0.03,-0.06,10.95
3703,-0.2,0.06,11.67
3718,0.31,0.24,13.22
3732,-0.1,-0.11,10.96
3746,-0.17,0.08,10.61
3761,0.33,0.27,13.28
3775,0.13,-0.11,10.95
3789,-0.25,0.0,10.47
3804,0.19,0.14,12.58
3819,0.19,-0.16,11.1
3833,-0.13,-0.18,9.85
3848,0.16,0.23,12.51
3862,0.36,0.01,12.23
3876,-0.14,-0.25,9.76
3891,-0.03,0.23,12.13
3905,0.32,0.03,12.17
3919,-0.18,-0.15,10.86
3934,-0.09,0.18,12.0
3948,0.29,0.19,12.85
3962,-0.2,-0.11,10.72
3978,-0.09,0.01,11.05
3992,0.29,0.2,12.96
4006,0.06,0.02,10.74
4021,-0.08,0.06,10.97
4035,0.25,0.23,13.01
4049,0.06,-0.01,10.79
4064,-0.31,-0.03,10.24
4078,0.26,0.19,13.02
4092,0.33,-0.11,11.74
4107,-0.27,-0.04,10.3
4121,0.16,0.23,12.47
4136,0.26,-0.14,11.67
4151,-0.03,-0.16,9.66
4165,0.11,0.26,12.45
4179,0.36,0.01,12.07
4194,-0.08,-0.21,9.62
4208,-0.03,0.2,11.96
4222,0.34,0.01,12.09
4237,-0.14,-0.13,10.42
4251,0.02,0.27,12.23
4265,0.19,0.19,12.55
4280,-0.21,-0.18,10.18
4294,-0.14,0.06,11.3
4310,0.18,0.19,12.25
4324,0.0,-0.02,11.03
4338,-0.11,0.06,11.49
4353,0.31,0.28,13.42
4367,-0.05,-0.1,10.98
4381,-0.12,0.0,10.67
4396,0.29,0.28,13.42
4410,0.1,-0.07,10.76
4424,-0.03,0.07,10.74
4439,0.26,0.16,12.84
4453,0.08,-0.04,10.88
4467,-0.32,-0.03,10.39
4483,0.23,0.2,13.05
4497,0.23,-0.11,11.64
4511,-0.3,0.02,10.42
4526,0.19,0.15,12.44
4540,0.23,-0.1,11.41
4554,-0.11,-0.19,9.76
4569,0.16,0.24,12.49
4583,0.37,-0.06,12.15
4597,-0.11,-0.15,9.77
4612,-0.07,0.28,12.21
4626,0.42,-0.06,12.16
4640,-0.19,-0.18,10.0
4656,0.02,0.25,12.28
4670,0.26,0.1,12.35
4684,-0.2,-0.23,9.95
4699,-0.12,0.06,11.4
4713,0.16,0.17,12.25
4727,-0.03,-0.08,10.9
4742,-0.02,0.11,11.4
4756,0.34,0.29,13.16
4770,-0.12,-0.08,10.93
4785,-0.19,0.03,10.62
4799,0.27,0.27,13.27
4814,0.14,-0.08,10.94
4829,-0.19,0.0,10.62
4843,0.24,0.19,12.58
