time,ax,ay,az
14441,-0.16,-0.1,10.83
14455,0.05,0.25,12.66
14470,0.42,-0.12,11.77
14484,-0.25,-0.06,10.19
14498,0.26,0.2,12.38
14513,-0.11,-0.07,10.73
14527,-0.17,0.08,11.25
14542,0.44,-0.1,11.74
14557,-0.25,-0.02,10.23
14571,0.3,0.14,12.63
14585,-0.18,-0.03,10.5
14600,-0.17,0.16,11.73
14614,0.39,-0.18,11.64
14628,-0.22,-0.18,10.02
14644,0.36,0.21,13.34
14658,0.0,-0.15,10.2
14672,-0.05,0.26,12.2
14687,0.33,-0.16,11.07
14701,-0.23,-0.06,10.12
14715,0.24,0.3,13.46
14730,-0.11,-0.09,10.59
14744,0.18,0.26,12.51
14759,0.46,-0.19,11.43
14774,-0.09,0.06,10.82
14788,0.25,0.04,12.15
14802,0.08,-0.22,10.01
14817,0.31,0.22,12.44
14831,0.09,-0.11,10.83
14845,-0.21,0.15,11.79
14861,0.14,0.26,12.33
14875,-0.23,-0.11,10.11
14889,0.28,0.13,12.2
14904,-0.18,-0.13,10.71
14918,0.04,0.29,12.62
14932,0.44,-0.18,11.55
14947,-0.13,0.04,10.57
14962,0.31,0.22,13.43
14977,-0.06,-0.25,10.0
14991,0.13,0.28,12.55
15005,0.11,-0.18,10.72
15020,-0.15,0.09,10.54
15034,0.2,0.2,12.43
15048,-0.25,-0.13,10.11
15064,0.2,0.17,12.24
15078,-0.17,-0.09,10.62
15092,-0.17,0.12,11.56
15107,0.4,-0.17,11.46
15121,-0.25,-0.08,10.3
15135,0.33,0.29,13.54
15150,-0.17,-0.08,10.76
15164,0.16,0.27,12.58
15179,0.16,-0.18,10.71
15194,-0.13,0.02,10.62
15208,0.2,0.17,12.22
15222,0.03,-0.2,10.04
15237,0.27,0.17,12.39
15251,0.2,-0.1,10.77
15265,-0.14,0.14,11.69
15281,0.22,0.2,12.37
15295,-0.25,-0.15,10.03
15309,0.27,0.24,13.51
15324,-0.17,-0.06,10.73
15338,0.15,0.28,12.48
15352,0.43,-0.15,11.6
15367,-0.06,0.11,10.65
15382,0.27,0.22,13.37
15396,-0.01,-0.18,10.06
15411,0.04,0.25,12.5
15425,0.2,-0.24,10.92
15439,-0.23,0.04,11.48
15454,0.15,0.32,12.96
15468,-0.24,-0.18,10.19
15483,0.3,0.29,12.25
15498,-0.11,-0.11,10.74
15512,-0.15,0.02,11.2
15526,0.39,-0.1,11.65
15541,-0.06,-0.13,10.38
15555,0.24,0.15,13.01
15569,-0.05,-0.11,10.45
15584,-0.03,0.2,12.16
15599,0.4,-0.25,11.13
15613,-0.26,-0.05,10.17
15628,0.18,0.34,13.44
15642,-0.19,-0.09,10.63
15656,0.04,0.24,12.49
15671,0.08,-0.18,10.75
15685,-0.1,0.02,10.93
15700,0.27,0.19,12.16
15715,0.02,-0.06,9.99
15729,0.29,0.23,12.12
15744,0.14,-0.25,10.85
15758,-0.21,-0.1,11.51
15772,0.17,0.21,13.17
15787,-0.06,-0.05,9.87
15801,0.3,0.51,12.49
15816,-0.01,-0.08,10.78
15831,-0.16,-0.1,10.86
15845,0.14,-0.06,11.87
15859,-0.29,-0.08,9.97
15874,0.3,0.35,12.42
15888,-0.17,0.06,10.7
15902,-0.24,0.13,11.3
15917,0.33,-0.23,11.65
15932,-0.14,-0.32,9.96
15946,0.29,0.17,12.87
15961,-0.07,-0.04,10.73
15975,-0.12,0.22,12.04
15989,0.25,-0.25,11.06
16004,-0.24,-0.1,10.11
16018,0.2,0.26,13.43
16033,-0.05,-0.12,10.73
16048,0.22,0.37,12.62
16062,0.37,-0.12,11.46
16076,-0.2,0.11,10.75
16091,0.22,0.21,13.42
16105,0.1,-0.25,10.01
16119,0.3,0.13,12.52
16134,0.34,-0.11,11.03
16149,-0.24,0.1,11.36
16163,0.09,0.28,12.88
16178,-0.21,-0.2,9.97
16192,0.21,0.26,12.56
16206,0.09,-0.1,10.77
16221,-0.1,0.07,10.92
16235,0.09,0.17,12.12
16249,-0.02,-0.17,10.0
16265,0.25,0.19,12.44
16279,-0.13,-0.08,10.87
16293,-0.12,-0.05,11.34
16308,0.31,-0.08,11.8
16322,-0.04,-0.23,9.96
16336,0.23,0.18,12.35
16351,0.06,-0.11,10.77
16365,-0.1,0.14,11.89
16380,0.18,0.22,12.53
16395,-0.17,-0.18,10.02
16409,0.22,0.28,12.44
16423,0.0,-0.04,10.65
16438,-0.19,0.24,11.83
16452,0.2,0.16,12.28
16466,-0.24,-0.23,10.12
16482,0.22,0.22,12.37
16496,-0.02,-0.08,10.85
16510,-0.15,0.11,10.88
16525,0.29,0.12,12.05
16539,-0.08,-0.23,10.13
16553,0.32,0.21,12.36
16568,-0.04,-0.09,10.82
16583,-0.12,0.1,11.14
16598,0.24,0.17,11.91
16612,-0.02,-0.21,10.18
16626,0.29,0.18,12.26
16641,0.36,-0.21,11.09
16655,-0.11,0.04,10.99
16669,0.25,0.28,13.53
16684,-0.02,-0.19,10.06
16699,0.18,0.21,12.29
16713,0.35,-0.21,11.39
16728,-0.15,0.05,11.05
16742,0.32,0.28,13.54
16756,0.05,-0.16,10.17
16771,-0.11,0.24,12.06
16785,0.4,-0.18,11.37
16800,-0.31,-0.11,10.17
16815,0.32,0.18,13.16
16829,-0.1,-0.08,10.52
16843,-0.2,0.14,11.6
16858,0.4,-0.13,11.65
16872,-0.17,-0.16,10.0
16886,0.32,0.12,12.68
16902,0.11,-0.13,10.79
16916,-0.16,0.08,11.53
16930,0.19,0.32,13.2
16945,0.0,-0.13,9.93
16959,0.22,0.18,12.33
16973,0.27,-0.22,11.16
16988,-0.1,0.05,11.0
17002,0.24,0.31,13.53
17017,0.05,-0.14,10.11
17032,-0.08,0.25,12.2
17046,0.35,-0.23,11.42
17060,-0.32,-0.15,10.1
17075,0.26,0.26,13.31
17089,-0.06,-0.1,10.88
17103,-0.14,0.12,11.71
17119,0.44,-0.08,11.71
17133,-0.09,-0.21,9.87
17147,0.17,0.17,12.58
17162,0.14,-0.14,10.96
17176,-0.19,0.05,11.36
17190,0.21,0.25,13.28
17205,0.06,-0.2,9.97
17219,-0.02,0.2,12.3
17233,0.33,-0.15,11.24
17249,-0.14,0.05,10.81
17263,0.27,0.26,13.37
17277,-0.05,-0.13,10.34
17292,-0.11,0.19,11.99
17306,0.43,-0.16,11.66
17320,-0.17,-0.09,10.19
17335,0.3,0.17,12.74
17350,0.07,-0.1,10.76
17364,-0.14,0.1,11.83
17379,0.4,-0.11,11.6
17393,-0.08,-0.19,10.09
17408,0.23,0.15,12.46
17422,0.16,-0.11,10.97
17436,-0.21,0.04,11.35
17452,0.21,0.28,13.3
17466,0.02,-0.21,10.02
17480,0.04,0.29,12.41
17495,0.28,-0.16,11.0
17509,-0.28,-0.01,10.09
17523,0.23,0.24,13.52
17538,-0.01,-0.19,10.06
17552,-0.03,0.26,12.13
17567,0.4,-0.19,11.45
17582,-0.29,-0.15,9.95
17596,0.27,0.26,13.41
17610,-0.06,-0.14,10.89
17625,-0.08,0.16,11.86
17639,0.17,0.12,12.23
17653,-0.21,-0.19,10.08
17669,0.25,0.14,12.86
17683,0.04,-0.12,10.61
17697,-0.17,0.13,11.67
17712,0.18,0.23,12.64
17726,-0.12,-0.19,9.94
17740,0.14,0.28,12.49
17755,0.05,-0.12,10.65
17769,-0.12,0.06,10.61
17784,0.21,0.26,12.8
17799,-0.06,-0.2,10.01
17813,0.16,0.29,12.54
17827,0.11,-0.13,10.85
17842,-0.13,0.03,10.36
17856,0.14,0.28,13.02
17870,-0.12,-0.13,10.51
17886,0.11,0.25,12.46
17900,0.42,-0.16,11.62
17914,-0.17,0.04,10.22
17929,0.15,0.28,13.32
17943,-0.14,-0.1,10.75
17957,0.09,0.3,12.42
17972,0.37,-0.05,11.8
17986,-0.31,-0.04,10.18
18001,0.22,0.1,12.51
18016,-0.11,-0.14,10.69
18030,-0.11,0.09,11.39
18044,0.31,-0.03,11.82
18059,-0.28,-0.12,9.99
18073,0.27,0.14,12.35
18087,-0.15,-0.06,10.79
18103,-0.19,0.05,10.86
18117,0.28,0.11,12.04
18131,-0.06,-0.18,10.22
18146,0.23,0.23,12.36
18160,0.43,-0.11,11.44
18174,-0.07,0.08,10.73
18189,0.29,0.21,13.32
