time,ax,ay,az
62707,0.18,0.11,12.28
62723,0.34,-0.04,12.31
62737,-0.22,-0.17,10.11
62751,-0.05,0.18,12.05
62766,0.28,0.26,13.17
62780,0.05,-0.11,10.62
62794,-0.34,-0.07,10.16
62809,0.13,0.16,12.77
62824,0.34,0.05,12.22
62838,-0.13,-0.17,9.78
62853,-0.03,0.27,12.02
62867,0.24,0.15,12.54
62881,-0.01,-0.07,10.96
62896,-0.24,0.0,10.44
62910,0.24,0.22,13.33
62925,0.42,0.02,12.45
62940,-0.04,-0.17,9.65
62954,-0.08,0.17,11.88
62968,0.24,0.06,12.14
62983,0.05,-0.2,10.7
62997,-0.08,-0.01,10.93
63011,0.35,0.28,13.38
63026,0.23,-0.05,11.62
63041,-0.31,-0.11,10.3
63055,0.01,0.27,12.08
63070,0.3,0.05,12.28
63084,-0.09,-0.08,10.9
63098,-0.09,0.07,11.42
63113,0.27,0.32,13.25
63127,0.09,-0.05,10.81
63141,-0.19,0.01,10.54
63157,0.08,0.17,12.27
63171,0.29,0.0,12.24
63185,-0.2,-0.21,10.09
63200,-0.05,0.19,11.99
63214,0.28,0.23,13.02
63228,-0.01,-0.1,10.75
63243,-0.22,0.05,10.52
63258,0.25,0.28,12.94
63272,0.17,-0.1,11.13
63287,-0.14,-0.19,9.7
63301,0.09,0.22,11.99
63315,0.19,0.11,12.06
63330,-0.25,-0.13,10.58
63344,-0.08,0.08,10.93
63358,0.35,0.3,13.35
63374,0.25,-0.01,11.71
63388,-0.29,-0.05,10.29
63403,0.16,0.17,12.56
63417,0.38,0.09,12.22
63431,-0.17,-0.23,9.47
63446,-0.13,0.03,11.56
63460,0.25,0.26,12.63
63475,0.08,-0.07,10.74
63490,-0.19,0.07,10.73
63504,0.14,0.14,12.34
63518,0.38,-0.07,12.13
63533,-0.15,-0.11,10.14
63547,-0.06,0.21,12.15
63561,0.19,0.04,11.97
63577,-0.02,-0.12,10.81
63591,-0.11,0.05,11.21
63605,0.24,0.13,13.02
63620,0.19,-0.16,10.88
63634,-0.05,-0.23,9.65
63648,0.07,0.23,12.16
63663,0.36,-0.03,12.38
63677,-0.16,-0.15,10.38
63692,-0.09,0.15,11.93
63707,0.33,0.26,13.35
63721,0.15,-0.06,10.62
63735,-0.29,-0.12,10.24
63750,0.12,0.23,12.43
63764,0.34,0.1,12.2
63778,-0.17,-0.18,9.62
63794,0.01,0.26,12.2
63808,0.24,0.26,12.87
63822,-0.01,-0.08,10.9
63837,-0.25,-0.04,10.52
63851,0.23,0.22,12.87
63865,0.35,0.0,12.34
63880,-0.14,-0.21,9.5
63894,-0.12,0.11,11.47
63909,0.26,0.17,12.47
63924,0.11,-0.15,10.62
63938,-0.23,0.03,10.55
63952,0.29,0.25,13.14
63967,0.32,0.02,12.39
63981,-0.11,-0.25,9.66
63995,-0.16,0.09,11.68
64010,0.17,0.1,12.25
64025,0.04,-0.02,10.58
64039,-0.19,0.06,10.71
64054,0.09,0.2,12.32
64068,0.36,0.05,12.42
64082,-0.23,-0.15,10.27
64097,-0.07,0.11,11.83
64111,0.19,0.15,12.18
64126,0.09,-0.07,10.61
64141,-0.11,0.08,10.59
64155,0.12,0.17,12.27
64169,0.42,-0.04,12.25
64184,-0.22,-0.15,10.3
64198,-0.11,0.16,11.95
64212,0.32,0.25,13.25
64227,0.08,-0.07,10.68
64242,-0.13,0.09,10.82
64257,0.15,0.24,12.48
64271,0.3,-0.04,12.28
64285,-0.22,-0.11,10.25
64300,-0.07,0.12,11.95
64314,0.29,0.29,13.22
64328,0.1,-0.09,10.69
64344,-0.29,-0.06,10.13
64358,0.19,0.23,12.35
64372,0.28,-0.02,12.24
64387,-0.22,-0.14,10.1
64401,-0.01,0.22,12.02
64415,0.32,0.25,13.24
64430,0.11,-0.13,10.63
64445,-0.25,-0.13,10.13
64459,0.16,0.22,12.37
64474,0.3,-0.02,12.33
64488,-0.22,-0.13,10.17
64502,-0.06,0.17,11.78
64517,0.32,0.29,13.33
64531,0.07,-0.07,10.68
64546,-0.21,-0.13,10.37
64561,0.14,0.2,12.34
64575,0.27,0.04,12.08
64589,-0.23,-0.13,10.26
64604,-0.1,0.11,11.94
64618,0.35,0.29,13.1
64632,0.13,-0.04,10.65
64647,-0.22,-0.09,10.24
64662,0.17,0.21,12.37
64676,0.21,-0.02,12.01
64691,-0.2,-0.15,10.31
64705,-0.05,0.1,11.08
64719,0.42,0.32,13.3
64734,0.13,-0.04,10.58
64748,-0.2,-0.15,10.12
64763,0.14,0.17,12.3
64778,0.22,0.04,12.02
64792,-0.25,-0.19,10.28
64806,-0.06,0.1,11.08
64821,0.34,0.28,13.27
64835,0.21,-0.11,11.76
64849,-0.22,-0.08,10.22
64865,0.16,0.21,12.26
64879,0.24,0.02,11.95
64893,-0.22,-0.21,10.07
64908,-0.09,0.05,11.03
64922,0.35,0.33,13.25
64936,0.25,-0.14,11.64
64951,-0.26,-0.08,10.32
64966,-0.07,0.28,12.12
64980,0.29,0.06,12.13
64995,-0.18,-0.17,10.08
65009,-0.03,0.11,11.12
65024,0.23,0.23,13.17
65038,0.22,-0.1,11.27
65052,-0.26,-0.06,10.32
65067,0.04,0.22,12.11
65082,0.32,-0.03,12.19
65096,-0.02,-0.07,10.9
65111,-0.12,0.06,11.31
65125,0.29,0.16,12.88
65139,0.14,-0.06,10.86
65154,-0.26,-0.07,10.37
65168,0.01,0.22,12.19
65183,0.34,0.04,12.37
65198,-0.26,-0.11,10.75
65212,-0.11,0.11,11.5
65226,0.25,0.27,13.19
65241,0.13,-0.05,10.79
65255,-0.27,0.06,10.66
65269,0.1,0.2,11.94
65285,0.38,0.09,12.37
65299,-0.25,-0.12,10.5
65313,-0.06,0.11,11.77
65328,0.32,0.3,13.33
65342,0.11,-0.07,10.69
65356,-0.23,-0.14,10.04
65371,0.13,0.2,12.27
65385,0.34,-0.03,12.35
65400,-0.24,-0.12,10.1
65415,-0.08,0.14,11.9
65429,0.35,0.29,13.19
65443,0.06,-0.12,10.64
65458,-0.26,-0.09,10.25
65472,0.16,0.22,12.52
65486,0.32,-0.11,12.01
65502,-0.22,-0.19,9.87
65516,-0.08,0.21,12.04
65530,0.28,0.25,13.08
65545,0.06,-0.09,10.92
65559,-0.36,-0.03,10.5
65573,0.14,0.21,12.71
65588,0.37,0.06,12.26
65602,-0.18,-0.18,9.6
65617,-0.08,0.02,11.45
65632,0.34,0.22,12.79
65646,0.01,-0.08,10.95
65660,-0.32,0.06,10.48
65675,0.24,0.15,12.92
65689,0.39,0.01,12.38
65703,-0.12,-0.23,9.59
65718,-0.13,0.07,11.38
65733,0.22,0.23,12.75
65747,0.16,-0.07,10.74
65762,-0.31,-0.03,10.48
65776,0.05,0.25,12.1
65790,0.33,0.0,12.37
65805,-0.08,-0.26,9.34
65819,-0.14,0.11,11.5
65835,0.28,0.23,12.76
65849,0.17,-0.1,10.8
65863,-0.33,0.04,10.31
65878,0.01,0.23,12.16
65892,0.34,0.03,12.3
65906,-0.15,-0.11,10.92
65921,-0.11,0.13,11.38
65935,0.21,0.22,12.81
65950,0.22,-0.07,10.96
65965,-0.29,-0.01,10.44
65979,0.02,0.26,12.15
65993,0.32,-0.02,12.31
66008,-0.06,-0.1,11.0
66022,-0.11,0.01,11.2
66036,0.21,0.28,12.94
66052,0.22,-0.12,11.26
66066,-0.3,-0.14,10.36
66080,0.01,0.21,12.03
66095,0.24,0.07,12.0
66109,0.0,-0.03,10.85
66123,-0.06,0.09,11.06
66138,0.17,0.16,12.72
66152,0.28,-0.08,11.8
66167,-0.13,-0.22,9.8
66182,-0.09,0.22,12.08
66196,0.31,0.28,13.11
