time,ax,ay,az
168016,0.24,0.22,12.17
168031,-0.08,-0.2,10.84
168045,-0.3,-0.12,10.32
168060,0.15,0.23,12.27
168075,0.23,0.27,12.22
168089,-0.01,-0.06,10.82
168103,0.06,0.08,11.12
168118,0.23,0.2,12.41
168132,0.32,0.09,12.54
168147,-0.16,-0.08,10.61
168162,0.02,0.18,11.02
168176,0.47,0.28,13.1
168190,0.49,0.06,12.62
168205,-0.2,-0.2,9.78
168219,-0.04,0.06,10.98
168235,0.32,0.22,12.92
168249,0.42,0.15,12.51
168263,-0.22,-0.11,9.92
168278,0.06,0.12,11.94
168292,0.34,0.19,12.87
168306,0.27,-0.13,11.67
168322,-0.3,-0.18,9.85
168336,-0.04,0.15,11.7
168350,0.37,0.26,12.73
168365,0.34,-0.08,12.02
168379,-0.12,-0.24,9.89
168393,-0.08,0.06,11.45
168409,0.4,0.25,12.84
168423,0.06,0.08,10.74
168437,-0.09,-0.11,9.79
168452,0.16,0.25,12.17
168466,0.39,0.21,12.95
168480,0.07,-0.04,10.79
168496,-0.06,-0.16,9.52
168510,0.13,0.23,12.16
168524,0.26,0.25,12.31
168539,0.2,0.07,11.01
168553,-0.23,-0.17,10.51
168567,0.06,0.17,12.05
168583,0.28,0.24,12.39
168597,0.07,-0.03,10.67
168611,-0.18,-0.06,10.29
168626,0.17,0.26,12.26
168640,0.28,0.12,12.47
168655,-0.02,-0.09,10.59
168670,-0.09,0.12,10.71
168684,0.13,0.33,12.27
168698,0.31,0.19,12.16
168713,0.12,-0.03,10.6
168727,-0.15,-0.03,10.59
168742,0.31,0.19,12.62
168757,0.26,0.19,11.94
168771,-0.21,-0.08,10.67
168785,-0.19,-0.01,10.59
168800,0.23,0.22,12.56
168815,0.52,0.03,12.64
168829,-0.09,-0.14,10.8
168844,0.02,0.12,10.98
168858,0.29,0.24,12.41
168872,0.44,0.08,12.65
168887,-0.19,-0.16,9.79
168902,0.09,0.1,10.97
168916,0.4,0.23,12.97
168931,0.41,0.14,12.56
168945,-0.16,-0.16,9.79
168960,0.0,0.12,11.73
168974,0.38,0.22,12.88
168989,0.3,-0.14,11.54
169004,-0.23,-0.15,9.9
169018,0.0,0.15,11.85
169032,0.32,0.22,12.81
169047,0.23,-0.05,11.36
169061,-0.28,-0.11,10.1
169076,0.04,0.15,11.96
169091,0.27,0.15,12.35
169105,0.2,-0.09,11.19
169119,-0.24,-0.13,10.22
169134,0.12,0.3,12.24
169149,0.22,0.2,12.37
169163,-0.09,-0.08,10.68
169178,-0.33,-0.21,10.31
169192,0.18,0.25,12.29
169206,0.43,0.12,12.66
169221,-0.01,-0.08,10.76
169236,0.04,0.11,11.03
169250,0.17,0.25,12.35
169265,0.4,0.06,12.58
169279,-0.16,-0.21,9.7
169293,0.04,0.09,11.18
169308,0.45,0.32,12.97
169323,0.51,0.06,12.56
169337,-0.12,-0.19,9.55
169352,0.08,0.23,12.21
169366,0.4,0.2,13.04
169380,0.08,0.06,10.7
169395,-0.05,-0.13,9.7
169410,0.08,0.3,12.19
169424,0.29,0.16,12.07
169439,0.07,-0.06,10.75
169453,-0.03,0.0,10.64
169467,0.24,0.28,12.34
169482,0.36,0.21,12.22
169497,-0.27,-0.18,10.07
169511,-0.02,0.06,10.77
169526,0.33,0.26,13.06
169540,0.42,0.12,12.78
169554,-0.11,-0.12,9.86
169570,0.06,0.08,11.12
169584,0.4,0.33,12.9
169598,0.1,0.03,11.0
169613,-0.1,-0.21,9.55
169627,0.18,0.11,12.28
169641,0.41,0.31,12.94
169657,0.11,0.0,10.84
169671,-0.34,-0.08,10.38
169686,0.09,0.26,12.14
169700,0.27,0.11,12.04
169714,0.1,-0.06,10.88
169729,-0.28,-0.08,10.51
169744,0.18,0.23,12.27
169758,0.23,0.16,11.99
169773,-0.11,-0.09,10.63
169787,-0.29,-0.05,10.56
169801,0.23,0.14,12.27
169816,0.42,0.1,12.54
169831,-0.09,-0.07,10.82
169845,-0.07,0.17,11.06
169860,0.22,0.19,12.17
169874,0.42,0.13,12.37
169888,-0.3,-0.21,10.36
169904,0.04,0.05,10.75
169918,0.34,0.18,12.79
169932,0.34,0.13,12.27
169947,-0.25,-0.13,10.62
169961,-0.04,0.06,11.28
169975,0.22,0.22,12.67
169991,0.43,0.0,12.49
170005,-0.07,-0.15,10.81
170019,-0.03,0.01,11.07
170034,0.28,0.26,12.95
170048,0.35,0.19,12.42
170063,-0.24,-0.19,10.5
170078,-0.08,0.03,10.81
170092,0.27,0.17,12.65
170106,0.45,-0.01,12.68
170121,-0.1,-0.18,10.81
170135,0.06,0.04,10.96
170150,0.14,0.31,12.14
170165,0.29,0.13,12.27
170179,-0.22,-0.19,10.7
170193,-0.28,-0.07,10.51
170208,0.2,0.21,12.4
170223,0.26,0.2,12.22
170237,0.06,0.0,10.65
170252,-0.26,-0.06,10.56
170266,0.06,0.22,12.19
170280,0.18,0.17,12.08
170295,0.26,-0.07,11.47
170310,-0.08,-0.1,10.03
170324,0.15,0.26,12.05
170339,0.38,0.16,12.79
170353,0.2,-0.08,11.17
170368,-0.24,-0.12,10.24
170382,0.0,0.09,11.28
170397,0.48,0.26,12.95
170412,0.43,0.16,12.8
170426,-0.33,-0.16,9.86
170440,-0.02,0.06,10.8
170455,0.32,0.3,12.74
170470,0.49,0.02,12.79
170484,-0.07,-0.16,10.8
170499,-0.02,0.02,10.91
170513,0.09,0.3,12.22
170527,0.22,0.19,12.38
170542,-0.16,-0.13,10.51
170557,-0.16,0.04,10.67
170571,0.3,0.22,12.64
170586,0.2,0.08,11.98
170600,-0.09,-0.14,10.86
170614,0.07,0.13,10.92
170629,0.11,0.3,12.13
170644,0.3,0.15,12.33
170658,0.09,0.0,10.72
170673,-0.16,-0.12,10.62
170687,0.18,0.23,12.52
170701,0.23,0.17,12.07
170717,-0.08,-0.05,10.96
170731,-0.32,-0.05,10.44
170745,0.24,0.21,12.33
170760,0.34,0.07,12.65
170774,-0.03,-0.09,10.66
170788,0.01,0.13,10.94
170804,0.19,0.33,12.41
170818,0.29,0.11,12.32
170832,-0.21,-0.22,10.55
170847,-0.18,-0.08,10.59
170861,0.23,0.22,12.53
170876,0.23,0.23,12.16
170891,-0.15,-0.18,10.8
170905,0.09,0.05,11.0
170919,0.15,0.18,12.35
170934,0.42,0.08,12.58
170948,-0.02,0.0,10.65
170963,-0.07,0.1,10.82
170978,0.35,0.23,12.85
170992,0.27,0.15,12.31
171006,-0.23,-0.25,10.71
171021,-0.17,-0.04,10.69
171036,0.21,0.2,12.41
171051,0.38,0.12,12.25
171065,-0.09,-0.07,10.78
171079,0.0,0.12,11.12
171094,0.16,0.17,12.32
171108,0.42,0.03,12.31
171123,-0.16,-0.15,10.66
171138,-0.15,0.15,10.52
171152,0.18,0.33,12.28
171166,0.23,0.15,11.95
171181,-0.06,-0.23,10.94
171196,0.07,-0.09,11.21
171210,0.19,0.22,12.25
171225,0.3,0.18,12.48
171239,-0.04,0.07,10.61
171253,-0.19,0.08,10.69
171268,0.31,0.1,12.61
171283,0.34,0.08,12.27
171297,-0.07,-0.2,10.76
171312,-0.37,-0.04,10.22
171326,0.06,0.36,12.05
171340,0.26,0.26,12.3
171355,0.04,0.03,10.82
171370,-0.14,-0.08,10.67
171384,0.21,0.16,12.23
171399,0.21,0.15,12.2
171413,-0.12,0.01,10.74
171427,-0.34,-0.06,10.14
171443,0.19,0.23,12.2
171457,0.35,0.16,12.49
171471,0.06,-0.05,10.66
171486,-0.19,-0.04,10.53
171500,0.11,0.31,12.07
171514,0.22,0.24,12.16
