time,ax,ay,az
150498,0.39,0.16,12.36
150512,-0.24,-0.13,10.06
150526,0.1,0.12,11.13
150541,0.44,0.2,12.94
150555,0.15,-0.06,10.98
150571,-0.19,-0.16,9.54
150585,0.09,0.3,12.12
150599,0.42,0.31,12.86
150614,0.18,0.03,10.75
150628,-0.15,-0.17,9.75
150642,0.07,0.2,12.24
150658,0.32,0.1,12.16
150672,0.0,-0.06,10.8
150686,0.04,0.16,11.06
150701,0.3,0.25,12.42
150715,0.45,0.01,12.75
150730,-0.16,-0.22,9.53
150745,-0.11,0.05,11.34
150759,0.4,0.35,12.78
150773,0.51,0.04,12.05
150788,-0.22,-0.22,9.9
150802,0.16,0.17,12.19
150817,0.21,0.11,12.42
150832,0.01,-0.08,10.72
150846,-0.25,0.02,10.26
150860,0.28,0.23,12.48
150875,0.45,0.02,12.57
150889,-0.31,-0.2,10.41
150904,-0.01,0.06,11.74
150919,0.33,0.25,12.81
150933,0.36,0.0,11.52
150947,-0.23,-0.18,9.59
150962,0.08,0.22,12.16
150976,0.23,0.15,12.23
150991,0.07,0.02,10.85
151006,-0.2,0.03,10.43
151020,0.22,0.33,12.29
151034,0.3,0.15,12.28
151049,-0.27,-0.2,10.16
151063,0.0,0.06,10.93
151078,0.37,0.2,12.9
151093,0.47,0.09,12.7
151107,-0.11,-0.13,9.62
151121,0.04,0.24,12.17
151136,0.4,0.28,12.84
151150,0.07,0.05,10.79
151165,-0.13,-0.15,9.69
151180,0.18,0.28,12.3
151194,0.32,0.16,12.25
151208,0.04,-0.01,10.69
151223,0.01,0.07,10.87
151237,0.23,0.23,12.24
151252,0.41,0.12,12.52
151267,-0.22,-0.21,9.7
151281,0.04,0.09,11.16
151296,0.38,0.27,12.79
151310,0.45,0.09,12.52
151325,-0.09,-0.16,9.5
151340,-0.01,0.03,11.37
151354,0.35,0.28,12.75
151368,0.09,0.06,10.81
151383,-0.18,-0.15,9.57
151397,0.14,0.31,12.24
151411,0.37,0.21,12.98
151427,0.18,0.1,10.66
151441,-0.08,-0.07,10.54
151455,0.13,0.27,12.19
151470,0.32,0.12,12.36
151484,0.0,-0.06,10.54
151499,0.1,0.09,10.95
151514,0.34,0.17,12.78
151528,0.29,0.11,12.59
151542,-0.26,-0.21,9.75
151557,0.0,0.06,11.02
151571,0.37,0.25,12.88
151586,0.19,0.01,11.03
151601,-0.13,-0.2,9.53
151615,0.1,0.22,12.14
151629,0.43,0.22,12.88
151644,0.16,0.07,10.72
151658,-0.11,-0.1,9.73
151673,0.16,0.28,12.23
151688,0.18,0.06,12.1
151702,0.06,-0.02,10.62
151716,0.04,0.11,10.86
151731,0.29,0.35,12.29
151745,0.43,0.15,12.46
151760,-0.29,-0.29,9.96
151775,0.02,-0.05,10.83
151789,0.33,0.22,12.83
151803,0.48,0.15,12.67
