time,ax,ay,az
49649,-0.01,0.35,9.29
49664,0.69,0.54,13.28
49678,0.11,-0.08,10.52
49692,0.03,0.18,11.1
49707,0.42,-0.46,13.25
49722,-0.11,0.45,9.49
49736,0.79,0.19,12.96
49751,-0.31,-0.39,10.39
49765,0.0,0.18,11.04
49779,0.56,-0.22,14.37
49794,0.04,0.37,10.5
49808,-0.04,-0.06,12.43
49822,-0.16,-0.21,10.55
49838,0.76,0.46,12.84
49852,0.21,-0.45,11.52
49866,0.16,0.47,10.9
49881,0.23,0.04,13.31
49895,-0.37,0.01,9.46
49909,0.55,0.09,12.68
49924,-0.47,-0.31,10.46
49938,0.13,0.23,11.38
49953,0.62,-0.07,14.43
49968,-0.23,0.32,9.19
49982,0.71,0.47,12.75
49996,-0.39,-0.13,10.1
50011,0.15,0.43,11.14
50025,0.75,-0.26,14.61
50039,-0.43,0.08,9.65
50055,0.66,0.4,12.72
50069,-0.49,-0.12,9.72
50083,0.3,0.17,11.7
50098,0.62,-0.24,13.14
50112,-0.14,0.39,9.42
50126,0.2,0.04,12.3
50141,-0.4,-0.22,9.9
50155,0.28,0.05,11.68
50169,0.69,-0.18,14.39
50185,-0.05,0.49,9.52
50199,0.58,0.39,12.85
50213,-0.55,-0.17,9.72
50228,0.17,0.18,11.43
50242,0.69,-0.23,13.39
50256,0.07,0.45,10.34
50271,0.39,0.16,12.54
50285,-0.65,-0.15,9.84
50300,0.12,0.16,11.27
50315,0.51,-0.2,11.99
50329,0.04,0.39,9.63
50343,0.07,-0.06,12.53
50358,-0.51,-0.26,10.17
50372,0.21,0.19,11.43
50386,0.63,-0.19,13.98
50401,0.04,0.54,9.9
50416,0.67,0.33,12.91
50430,-0.48,-0.28,10.2
50445,0.38,0.22,12.15
50459,0.68,-0.18,13.52
50473,-0.02,0.54,10.36
50488,0.46,0.21,12.56
50502,-0.33,-0.29,10.41
50518,0.09,0.2,11.0
50532,0.74,-0.24,12.68
50546,0.15,0.49,10.63
50561,0.17,0.15,12.35
50575,-0.35,-0.22,10.46
50589,0.15,0.21,11.09
50604,0.73,-0.21,12.55
50619,-0.1,0.36,9.36
50633,0.26,0.03,12.48
