time,ax,ay,az
84515,0.31,0.35,13.38
84530,0.37,0.03,12.73
84545,-0.13,-0.29,9.34
84559,-0.1,0.08,11.24
84574,0.34,0.24,13.09
84588,0.25,-0.05,11.71
84602,-0.14,-0.13,10.03
84617,0.06,0.22,12.31
84631,0.23,0.15,12.26
84645,-0.16,-0.16,10.9
84661,-0.32,0.06,10.44
84675,0.21,0.29,13.02
84689,0.25,0.04,12.18
84704,-0.21,-0.21,9.78
84718,-0.11,0.06,11.05
84732,0.37,0.3,13.24
84747,0.4,0.01,12.2
84761,-0.08,-0.19,9.73
84776,-0.02,0.2,12.05
84791,0.15,0.11,12.16
84805,-0.03,-0.15,10.9
84819,-0.29,0.03,10.59
84834,0.22,0.24,13.03
84848,0.26,0.07,12.14
84862,-0.23,-0.1,9.94
84877,-0.12,0.08,11.06
84892,0.3,0.3,13.24
84907,0.28,-0.03,11.9
84921,-0.09,-0.16,10.1
84935,0.11,0.27,12.19
84950,0.26,0.1,12.06
84964,-0.24,-0.14,10.76
84978,-0.23,0.02,10.64
84994,0.26,0.22,13.27
85008,0.38,0.01,12.5
85022,-0.07,-0.3,9.42
85037,-0.11,0.09,11.44
85051,0.23,0.17,12.6
85065,0.23,-0.14,10.81
85080,-0.26,-0.01,10.48
85094,0.12,0.24,12.82
85109,0.24,0.0,12.18
85124,-0.18,-0.22,10.07
85138,-0.15,0.14,11.21
85152,0.29,0.28,13.12
85167,0.31,-0.01,11.82
85181,-0.26,-0.11,9.9
85195,-0.08,0.23,11.99
85210,0.22,0.07,12.11
85225,-0.23,-0.09,10.65
85239,-0.08,0.03,10.93
85254,0.28,0.29,13.34
85268,0.28,-0.02,12.36
85282,-0.04,-0.22,9.4
85297,-0.21,0.04,11.71
85311,0.24,0.07,12.37
85325,0.18,-0.08,10.78
85341,-0.27,-0.01,10.57
85355,0.23,0.22,13.0
85369,0.29,0.08,12.33
85384,-0.12,-0.19,9.67
85398,-0.08,0.1,11.39
85412,0.28,0.2,12.97
85427,0.24,-0.02,11.49
85442,-0.22,-0.12,10.08
85456,-0.04,0.18,12.02
85471,0.27,0.04,11.97
85485,-0.01,-0.13,10.65
85499,-0.09,0.06,10.97
85514,0.38,0.27,13.29
85528,0.34,0.0,12.41
85542,-0.07,-0.24,9.62
85558,-0.19,0.06,11.71
85572,0.2,0.09,12.3
85586,0.11,-0.1,10.72
85601,-0.23,-0.01,10.5
85615,0.05,0.17,11.98
85629,0.31,0.03,12.3
85644,-0.06,-0.12,10.82
85658,-0.11,0.07,11.23
85673,0.32,0.24,12.99
85688,0.24,-0.04,11.82
85702,-0.16,-0.21,9.95
85716,-0.02,0.22,11.85
85731,0.22,0.16,12.07
85745,0.21,-0.06,10.5
85760,-0.2,-0.02,10.48
85774,0.09,0.21,12.06
85789,0.27,0.05,12.49
85804,-0.14,-0.19,9.64
85818,-0.07,0.12,11.31
85832,0.29,0.28,13.07
85847,0.29,-0.07,11.69
85861,-0.17,-0.16,9.94
85875,-0.06,0.17,11.95
85890,0.16,0.03,12.02
85905,0.16,-0.06,10.62
85919,-0.17,0.02,10.62
85934,0.16,0.16,12.11
85948,0.3,0.01,12.47
85962,-0.21,-0.1,10.81
85977,-0.1,0.06,11.32
85991,0.31,0.25,13.0
86006,0.23,-0.09,11.49
86021,-0.24,-0.11,10.29
86035,-0.07,0.18,12.0
86049,0.28,0.06,12.04
86064,0.13,-0.06,10.56
86078,-0.17,0.12,10.75
86092,0.12,0.23,12.05
86108,0.29,0.08,12.48
86122,-0.11,-0.21,9.51
86136,-0.17,0.06,11.59
86151,0.3,0.24,12.78
86165,0.21,-0.08,11.18
86179,-0.27,-0.13,10.05
86194,-0.02,0.19,11.99
86208,0.26,0.03,11.97
86223,0.08,-0.17,10.66
86238,-0.12,0.1,10.89
86252,0.34,0.25,13.3
86266,0.27,0.04,12.58
86281,-0.04,-0.19,9.64
86295,-0.1,0.07,11.51
86309,0.3,0.21,12.67
86324,0.25,-0.07,11.13
86339,-0.33,-0.03,10.41
86353,-0.01,0.2,12.03
86368,0.26,0.09,12.06
86382,0.05,-0.14,10.68
86396,-0.09,0.06,10.98
86411,0.3,0.27,13.36
86425,0.33,0.02,12.33
86440,-0.08,-0.26,9.61
86455,-0.11,0.11,11.68
86469,0.24,0.15,12.4
86483,0.23,-0.07,10.78
86498,-0.26,-0.07,10.47
86512,-0.01,0.29,11.98
86526,0.26,0.06,12.15
86541,-0.15,-0.18,10.07
86556,-0.06,0.07,11.16
86571,0.31,0.25,13.35
86585,0.27,-0.05,12.14
86599,-0.14,-0.23,9.76
86614,-0.07,0.18,11.9
86628,0.26,0.11,12.19
86642,0.17,-0.03,10.69
86657,-0.27,0.0,10.66
86672,0.12,0.24,12.1
86686,0.29,0.06,12.39
86701,-0.14,-0.21,9.64
86715,-0.08,0.1,11.32
86729,0.29,0.27,13.07
86744,0.18,-0.05,11.4
86758,-0.26,-0.16,10.24
86772,-0.01,0.21,12.0
86788,0.21,0.06,12.08
86802,0.09,-0.06,10.77
86816,-0.07,0.1,10.95
86831,0.12,0.2,12.35
86845,0.3,0.02,12.45
86859,-0.06,-0.27,9.64
86874,-0.16,0.1,11.68
86888,0.26,0.14,12.42
86903,0.16,-0.06,10.98
86918,-0.27,-0.04,10.39
86932,0.02,0.23,12.03
86946,0.18,0.08,12.17
86961,0.01,-0.1,10.79
86975,-0.08,0.1,11.05
86989,0.29,0.29,13.35
87005,0.29,0.0,12.15
87019,-0.08,-0.17,9.81
87033,-0.09,0.15,11.81
87048,0.28,0.07,12.27
87062,0.12,-0.13,10.67
87076,-0.29,0.06,10.67
87091,0.1,0.2,12.09
87105,0.26,0.08,12.27
87120,-0.07,-0.1,10.8
87135,-0.09,0.13,11.34
87149,0.3,0.25,13.11
