time,ax,ay,az
125969,-0.05,0.17,11.2
125983,0.35,0.32,13.2
125998,0.32,0.0,12.52
126012,-0.03,-0.19,9.64
126026,-0.13,0.11,11.51
126041,0.34,0.24,12.78
126056,0.09,-0.08,10.54
126070,-0.05,-0.17,9.93
126085,0.02,0.21,12.05
126099,0.23,0.09,12.5
126113,0.04,-0.14,10.56
126128,-0.19,0.11,10.82
126143,0.12,0.19,12.06
126157,0.3,0.04,12.25
126172,-0.01,-0.11,11.01
126186,-0.11,0.1,10.92
126200,0.26,0.25,13.26
126215,0.35,0.07,12.37
126230,-0.15,-0.16,9.99
126244,-0.13,0.06,11.14
126259,0.26,0.25,13.34
126273,0.24,-0.11,11.05
126287,-0.15,-0.21,9.87
126302,-0.07,0.15,11.87
126317,0.25,0.28,13.13
126331,0.25,-0.17,10.95
126346,-0.23,-0.11,10.32
126360,-0.06,0.17,11.98
126374,0.17,0.11,12.1
126390,0.17,-0.15,10.76
126404,-0.32,-0.03,10.38
126418,0.17,0.18,12.26
126433,0.23,0.07,12.11
126447,-0.1,-0.11,10.91
126462,-0.27,-0.1,10.33
126477,0.14,0.16,12.32
126491,0.31,0.06,12.64
126505,-0.04,-0.09,10.99
126520,-0.12,0.1,10.94
126534,0.21,0.19,12.43
126550,0.33,0.07,12.64
126564,-0.15,-0.21,9.7
126578,-0.08,0.07,11.25
126593,0.28,0.24,13.24
126607,0.29,0.08,12.65
126621,-0.09,-0.17,9.52
126637,-0.05,0.22,11.88
126651,0.3,0.28,13.07
126665,0.17,-0.15,10.65
126680,-0.09,-0.2,9.41
126694,-0.11,0.2,12.02
126708,0.2,0.07,12.1
126724,0.17,-0.14,10.69
126738,-0.29,0.01,10.48
126752,-0.06,0.19,12.01
126767,0.24,0.08,12.13
126781,-0.05,-0.12,10.9
126795,-0.29,-0.03,10.59
126811,0.2,0.23,12.52
126825,0.18,0.07,12.02
126839,-0.13,-0.09,10.97
126854,-0.02,0.11,11.23
126868,0.1,0.14,12.68
126883,0.32,0.07,12.5
126898,-0.21,-0.1,10.82
126912,-0.06,0.12,11.15
126926,0.09,0.2,12.75
126941,0.35,0.09,12.55
126955,-0.03,-0.2,9.59
126970,-0.13,0.1,11.37
126985,0.36,0.24,13.07
126999,0.29,0.07,12.35
127013,-0.03,-0.24,9.66
127028,-0.04,0.29,12.01
127042,0.33,0.22,12.86
127057,0.16,-0.15,10.64
127072,-0.01,-0.21,9.61
127086,-0.05,0.24,12.04
127100,0.27,0.06,12.06
127115,0.17,-0.08,10.54
127129,-0.27,-0.01,10.5
127144,-0.07,0.23,12.06
127159,0.21,0.03,12.0
127173,-0.27,-0.14,10.9
127187,-0.25,0.02,10.55
127202,0.15,0.21,12.69
127217,0.24,0.05,12.1
127232,-0.18,-0.08,10.85
127246,-0.15,0.08,11.07
127260,0.23,0.14,12.75
127275,0.35,0.11,12.48
127289,-0.23,-0.17,10.85
127304,-0.13,0.07,11.09
127319,0.33,0.24,13.1
127333,0.32,0.08,12.61
127347,-0.08,-0.16,9.5
127362,-0.1,0.07,11.27
127376,0.35,0.28,13.18
127391,0.3,0.03,12.5
127406,-0.08,-0.25,9.53
127420,-0.09,0.21,11.9
127434,0.37,0.34,13.2
127449,0.2,-0.12,10.8
127463,-0.11,-0.16,9.67
127478,-0.09,0.2,11.82
127493,0.2,0.09,12.19
127507,0.21,-0.17,10.77
127521,-0.26,-0.09,10.41
127536,-0.03,0.21,11.87
127550,0.18,0.09,12.14
127565,0.02,-0.13,10.93
127580,-0.29,-0.08,10.45
127594,0.11,0.21,12.3
127608,0.17,0.03,12.01
127623,-0.03,-0.11,10.94
127638,-0.11,0.09,10.94
127652,0.11,0.23,12.24
127667,0.22,0.05,12.53
127681,-0.09,-0.12,10.9
127695,-0.05,0.07,10.94
127710,0.25,0.28,13.25
127725,0.35,0.07,12.55
127739,-0.18,-0.15,10.05
127754,-0.06,0.06,10.92
127768,0.28,0.21,13.2
127782,0.23,-0.1,11.4
127798,-0.23,-0.14,9.9
127812,-0.12,0.17,11.79
127826,0.19,0.26,13.24
127841,0.22,-0.1,11.16
127855,-0.21,-0.09,10.25
127869,-0.15,0.16,11.87
127885,0.23,0.2,12.38
127899,0.21,-0.14,10.94
127913,-0.15,-0.12,10.28
127928,0.12,0.18,12.31
127942,0.25,0.09,12.13
127958,0.01,-0.1,10.72
127972,-0.26,0.0,10.56
127986,0.17,0.23,12.21
128001,0.29,0.1,12.51
128015,-0.02,-0.14,10.98
128029,-0.01,0.08,10.86
128045,0.16,0.23,12.47
128059,0.25,0.11,12.46
128073,-0.14,-0.2,9.64
128088,-0.12,0.06,11.26
128102,0.36,0.29,13.15
128116,0.34,0.01,12.58
128132,-0.09,-0.17,9.6
128146,-0.14,0.15,11.32
128160,0.34,0.24,13.03
128175,0.16,-0.15,10.57
128189,-0.01,-0.24,9.85
128203,0.03,0.17,11.94
128219,0.28,0.2,12.57
128233,0.09,-0.07,10.66
128247,-0.21,0.07,10.61
128262,0.06,0.23,12.12
128276,0.33,0.05,12.29
128290,0.0,-0.15,10.83
128306,-0.17,0.09,10.81
128320,0.25,0.26,13.16
128334,0.38,0.07,12.5
128349,-0.12,-0.19,9.71
128363,-0.09,0.07,11.19
128377,0.36,0.27,13.14
128393,0.16,-0.09,10.6
128407,-0.06,-0.18,9.67
128421,0.03,0.23,12.05
128436,0.34,0.19,12.76
128450,0.14,-0.1,10.62
128464,-0.11,-0.17,10.11
128480,0.16,0.23,12.15
128494,0.28,0.07,12.48
128508,-0.07,-0.15,10.89
128523,-0.09,0.04,11.01
128537,0.14,0.18,12.54
128552,0.39,0.12,12.63
128567,-0.02,-0.16,9.47
128581,-0.08,0.06,11.36
128595,0.21,0.18,12.85
128610,0.18,-0.07,11.76
128624,-0.12,-0.19,10.03
128640,0.05,0.23,12.21
128654,0.19,0.13,12.2
128668,-0.01,-0.05,10.94
128683,-0.36,-0.08,10.49
128697,0.18,0.19,12.47
128711,0.38,0.04,12.29
128727,-0.23,-0.11,10.81
128741,-0.11,0.11,11.43
128755,0.25,0.16,12.78
128770,0.25,-0.08,11.77
128784,-0.11,-0.15,9.88
128799,-0.19,0.11,11.8
128814,0.22,0.22,12.41
128828,0.11,-0.13,10.89
128842,-0.32,-0.09,10.39
128857,0.15,0.2,12.33
128871,0.23,0.06,12.07
128886,-0.14,-0.1,10.78
128901,-0.3,0.09,10.7
128915,0.14,0.19,12.7
128929,0.24,-0.04,12.3
128944,-0.27,-0.12,10.46
128959,-0.08,0.08,11.53
128973,0.26,0.28,13.19
128988,0.27,-0.07,11.46
129002,-0.11,-0.15,10.02
129016,-0.09,0.15,11.82
129031,0.2,0.09,12.37
129046,0.23,-0.14,10.89
129060,-0.29,-0.1,10.39
129075,0.11,0.25,12.34
129089,0.19,0.0,12.15
129103,-0.04,-0.07,10.92
129118,-0.25,-0.07,10.54
129133,0.19,0.17,12.63
129147,0.34,0.03,12.56
129162,-0.25,-0.11,10.67
129176,-0.13,0.11,11.33
129190,0.24,0.17,12.82
129206,0.33,0.06,12.5
129220,-0.06,-0.25,9.62
129234,-0.11,0.1,11.51
129249,0.26,0.18,12.91
129263,0.26,-0.06,11.92
129277,-0.02,-0.21,9.85
129293,0.05,0.25,12.12
129307,0.32,0.18,12.57
129321,0.09,-0.1,10.69
129336,-0.21,-0.14,10.08
129350,0.06,0.23,12.15
129364,0.32,0.13,12.32
129380,0.0,-0.12,10.78
129394,-0.05,0.07,10.92
129409,0.11,0.21,12.36
129423,0.3,0.11,12.5
129437,-0.22,-0.16,10.84
129453,-0.16,0.09,11.32
129467,0.34,0.26,13.09
129481,0.34,0.0,12.26
129496,-0.03,-0.2,9.72
129510,-0.07,0.1,11.47
129524,0.26,0.19,12.73
129540,0.11,-0.16,10.73
129554,-0.15,-0.17,10.01
129568,0.12,0.2,12.11
129583,0.26,0.11,12.28
