time,ax,ay,az
106096,0.23,0.05,12.06
106110,-0.14,-0.11,10.85
106125,-0.13,0.12,11.32
106139,0.21,0.16,12.88
106153,0.36,-0.07,12.23
106168,-0.28,-0.09,10.45
106183,-0.13,0.17,11.61
106198,0.27,0.17,12.43
106212,0.27,-0.11,11.3
106226,-0.29,-0.13,10.39
106241,-0.04,0.16,12.09
106256,0.25,0.06,12.02
106270,-0.15,-0.09,10.81
106285,-0.26,0.07,10.64
106299,0.19,0.18,12.66
106313,0.27,0.01,12.27
106328,-0.25,-0.17,10.6
106343,-0.17,0.09,11.45
106357,0.23,0.27,12.98
106372,0.26,-0.05,11.54
106386,-0.21,-0.11,10.12
106400,-0.12,0.1,11.83
106416,0.16,0.12,12.28
106430,0.21,-0.14,10.79
106444,-0.33,0.0,10.42
106459,-0.06,0.19,11.88
106473,0.23,0.06,12.03
106487,-0.15,-0.2,10.92
106503,-0.19,0.01,10.63
106517,0.11,0.21,12.65
106531,0.2,0.06,12.04
106546,-0.23,-0.1,10.73
106560,-0.11,0.11,11.39
106575,0.24,0.18,12.86
106590,0.27,-0.07,12.01
106604,-0.25,-0.14,10.28
106618,-0.15,0.11,11.61
106633,0.28,0.17,12.69
106647,0.19,-0.08,11.54
106662,-0.17,-0.18,10.0
106677,-0.08,0.09,11.87
106691,0.23,0.18,12.29
106705,0.01,-0.1,10.8
106720,-0.32,-0.1,10.29
106735,0.08,0.23,12.23
106749,0.23,0.06,12.12
106764,-0.07,-0.1,10.8
106778,-0.07,0.11,11.12
106792,0.19,0.2,12.5
106807,0.29,0.0,12.53
106822,-0.14,-0.13,10.75
106836,-0.09,0.11,11.38
106851,0.3,0.26,12.96
106865,0.28,-0.01,12.06
106880,-0.09,-0.2,9.77
106894,-0.12,0.09,11.59
106909,0.28,0.14,12.59
106924,0.08,-0.17,10.71
106938,-0.18,-0.17,10.24
106952,0.14,0.17,12.23
106967,0.22,0.07,12.24
106982,-0.07,-0.12,10.94
106996,-0.08,0.1,10.97
107011,0.12,0.2,12.46
107025,0.35,0.06,12.58
107039,-0.19,-0.08,10.83
107054,-0.1,0.09,11.29
107069,0.36,0.26,13.17
107083,0.3,-0.01,12.35
107098,-0.03,-0.16,9.62
107112,-0.15,0.09,11.41
107126,0.29,0.17,12.82
107141,0.27,0.01,11.9
107156,-0.09,-0.09,9.81
107170,0.09,0.27,12.12
107185,0.29,0.15,12.55
107199,0.02,-0.11,10.86
107213,-0.25,-0.2,9.98
107228,0.16,0.22,12.07
107243,0.28,0.13,12.46
107257,-0.01,-0.16,10.85
107272,-0.09,0.13,11.02
107286,0.16,0.16,12.42
107300,0.29,0.11,12.63
107315,-0.18,-0.18,9.58
107330,-0.1,0.09,11.13
107344,0.42,0.24,13.2
107359,0.32,-0.03,12.25
107373,-0.07,-0.24,9.57
107387,-0.08,0.1,11.5
107402,0.35,0.25,12.86
107417,0.15,-0.07,10.53
107431,-0.1,-0.13,10.01
107446,0.07,0.25,12.05
107460,0.23,0.12,12.23
107474,-0.08,-0.09,10.84
107490,-0.03,0.15,11.08
107504,0.1,0.18,12.49
107518,0.38,0.05,12.48
107533,-0.23,-0.15,10.71
107547,-0.1,0.09,11.57
107561,0.31,0.21,12.8
107577,0.24,-0.08,11.6
107591,-0.19,-0.14,10.07
107606,-0.07,0.15,11.89
107620,0.15,0.09,12.01
107634,-0.1,-0.18,10.75
107649,-0.27,-0.07,10.54
107664,0.25,0.26,12.85
107678,0.4,0.08,12.31
107693,-0.24,-0.16,9.97
107707,-0.11,0.16,11.93
107721,0.27,0.26,13.14
107737,0.21,-0.2,10.81
107751,-0.07,-0.21,9.65
107765,0.02,0.21,11.92
107780,0.2,0.03,12.18
107794,-0.02,-0.16,10.81
107808,-0.08,0.11,10.98
